id,active,displayorder,dosesperpatient,fullsupply,priceperpack,orderabledisplaycategoryid,orderableid,programid
148a093f-5d3e-461f-9df6-fbd6c722db18,true,33,91,true,78.33,06606981-67cc-42d1-87ed-21f22fb0ea58,8306cc84-ecb4-414c-adf2-3e658388d9de,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d97aa745-4c25-4357-9360-57d206e6cb4b,true,13,22,true,34.06,74f39ab7-b5ce-4087-a6ea-65799a35e79b,5f2ef32c-5ebc-42d3-ad63-683879f457c8,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0322caf7-87ac-4fb5-8733-879b835129ff,true,48,24,true,84.9,baeb2434-574d-4804-9640-992abbe826ef,e618bcae-db5d-4a77-aedb-9eaf8c40f5f3,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2f0332e1-442c-4d2a-8116-dba4bc12fcde,true,31,85,true,57.37,3bfe0282-732b-4ce8-b4f9-aa7ffb297758,15e3a7c0-db38-45bf-95c5-1754e1cacc3d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4858882a-334f-4e16-9e1c-39ce934db769,true,5,87,true,45.89,06606981-67cc-42d1-87ed-21f22fb0ea58,54b96f4b-ed2c-444e-9ec9-d97b193a17b0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
949ae510-baf8-4edb-962e-f6e145a97d36,true,5,78,true,35.01,6805dd74-ec00-4697-9a5d-5b78414fcaf6,3a9be5b0-02cc-4346-aeef-41a8baf59a7f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c2f00073-14e5-44a1-90c2-b762516762d3,true,43,85,true,91.2,15b8ef1f-a5d6-42dd-95bf-bb68a4504e82,75b1a690-2b3d-413a-84b3-09677d4f27f0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6241b759-6a08-40b0-963c-573b1e969f80,true,91,53,true,60.13,06606981-67cc-42d1-87ed-21f22fb0ea58,690c5583-3ac6-4f0b-9a9a-b586cdbea5f6,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6c92213d-12fd-4b90-9f53-4788be85467b,true,66,96,true,93.01,6c7768ef-6ccc-4150-a589-043a17f6cf95,934e6dea-1466-41d1-ac71-191701742f89,10845cb9-d365-4aaa-badd-b4fa39c6a26a
5f7c3d79-6a0d-4b40-acd3-4d10174c3af2,true,3,89,true,14.24,06606981-67cc-42d1-87ed-21f22fb0ea58,121ba9b5-a80a-406f-925a-590a5c75ccf9,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4f669fe0-f65c-4926-bc58-a2bc3ccb1c7a,true,53,1,true,31.61,16173fd0-f439-4222-931e-91c413a495c3,02f8cfdf-338a-42c2-a834-5271475edb52,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8b53391f-c0d1-4899-9601-2d60c914cef0,true,79,46,true,44.3,15b8ef1f-a5d6-42dd-95bf-bb68a4504e82,477b6cb6-9a43-48ab-bc45-39edb94cad3c,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ea091bc9-6f09-40df-a4a4-0684ebb5673f,true,83,52,true,6.66,baeb2434-574d-4804-9640-992abbe826ef,4bd1b2f0-de1d-448d-8298-ee7d863a16ac,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d0a8a4bd-43f7-48da-806c-f05665040ab2,true,99,43,true,33.56,6805dd74-ec00-4697-9a5d-5b78414fcaf6,14cefd43-11c5-455c-98c5-765b6cd10424,10845cb9-d365-4aaa-badd-b4fa39c6a26a
83947854-3887-4cc0-9b93-0be880e30932,true,50,4,true,61.62,74f39ab7-b5ce-4087-a6ea-65799a35e79b,f48385b0-c5ed-4de3-8a76-789e9c65064b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d30fa905-8557-4d17-a1ac-fd2d447c0f30,true,47,48,true,40.14,06606981-67cc-42d1-87ed-21f22fb0ea58,27380ae7-f222-44b4-bcae-7dbc22790e69,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a1ee5c45-c07d-4aee-b963-a70627130d7f,true,79,45,true,80.46,baeb2434-574d-4804-9640-992abbe826ef,d9f6b0f3-f768-41bf-943e-c007ad3bccc0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2448b03d-90d5-4002-8659-be04ffc49ec5,true,7,31,true,67.05,6c7768ef-6ccc-4150-a589-043a17f6cf95,9a374e8b-784d-4dca-be98-1e8648955e5b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
da12dcb3-7eeb-4aef-bd36-fabb538dfc9c,true,24,37,true,15.56,6c7768ef-6ccc-4150-a589-043a17f6cf95,9efc72ef-7e30-4239-899c-7c23eea3d1c0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7e517005-db67-4610-8f10-32ed7adfb1a2,true,40,76,true,46.8,6c7768ef-6ccc-4150-a589-043a17f6cf95,9e1b0dc0-d837-48ae-9ea9-57d3b5deaa06,10845cb9-d365-4aaa-badd-b4fa39c6a26a
74b04325-4bf0-44d9-8d25-cceb3106f0d6,true,98,5,true,4.04,814c51b6-91e3-45c3-af39-25e94b608d96,8647fcec-bb80-4c51-acf9-8db1a2ac20c8,10845cb9-d365-4aaa-badd-b4fa39c6a26a
837b2ab4-2c8c-45a1-94c7-5d9bee1ab071,true,36,34,true,13.39,74f39ab7-b5ce-4087-a6ea-65799a35e79b,b091052b-20e2-4d15-ac57-9c08bada2fa3,10845cb9-d365-4aaa-badd-b4fa39c6a26a
46132cf8-39c9-4082-bba9-06c81b0707e4,true,60,83,true,85.93,6c7768ef-6ccc-4150-a589-043a17f6cf95,061c74a7-dbaf-43e5-93f7-d10e385395ca,10845cb9-d365-4aaa-badd-b4fa39c6a26a
604a1182-f115-4f43-b431-46f6f27cbc9b,true,21,5,true,91.93,6c7768ef-6ccc-4150-a589-043a17f6cf95,0fd9563d-7869-4c8e-9ace-8e7175d4a3a2,10845cb9-d365-4aaa-badd-b4fa39c6a26a
265773fc-d49d-43e2-aa22-0b10a5721455,true,51,61,true,94.72,3bfe0282-732b-4ce8-b4f9-aa7ffb297758,c8ed09dd-6c05-4403-a924-abd09d3377a7,10845cb9-d365-4aaa-badd-b4fa39c6a26a
e16f9b73-62ab-4f6c-9ad0-932e884b4430,true,5,85,true,70.86,6805dd74-ec00-4697-9a5d-5b78414fcaf6,75550e99-21ac-496c-9426-e7ec104df0e1,10845cb9-d365-4aaa-badd-b4fa39c6a26a
