id,code,fullProductName,netContent,packRoundingThreshold,roundToZero,description,dispensableid
8306cc84-ecb4-414c-adf2-3e658388d9de,Hatity610698774,Nephroplex,4,4,true,Mandatory directional hub,33259963-6feb-48d6-b29d-d313936cdbb3
5f2ef32c-5ebc-42d3-ad63-683879f457c8,Tres-Zap348862753,Sprix,100,3,false,Optional incremental leverage,a3d9fd8a-27a6-4288-93d3-92f941885e5d
e618bcae-db5d-4a77-aedb-9eaf8c40f5f3,Overhold979581229,Hydroxyzine Pamoate,10,2,true,Front-line human-resource strategy,62d6457e-02ab-49b0-8952-a1ed5bd8d056
15e3a7c0-db38-45bf-95c5-1754e1cacc3d,Tresom728706630,equaline childrens pain and fever,100,1,true,Compatible scalable installation,b9c8ba9b-91ec-4908-9c68-ecbd579036eb
54b96f4b-ed2c-444e-9ec9-d97b193a17b0,Regrant761327434,Caduet,70,4,true,Reduced empowering conglomeration,d88a3cd4-271a-49d3-961a-fbef88a74e4c
3a9be5b0-02cc-4346-aeef-41a8baf59a7f,Treeflex217470263,AcipHex,9,4,true,Organized contextually-based attitude,b6eb78c8-3c62-427e-87a8-e16615f9683d
75b1a690-2b3d-413a-84b3-09677d4f27f0,Tampflex799334059,Baclofen,36,2,false,Robust client-driven installation,d18c1b6e-9961-4106-801d-28ce4a71bd47
690c5583-3ac6-4f0b-9a9a-b586cdbea5f6,Toughjoyfax297526160,Alprazolam,72,5,true,Organic demand-driven adapter,22011f6f-1b25-42cd-aedf-e5e92efa186b
934e6dea-1466-41d1-ac71-191701742f89,Zontrax920666990,4 SURE Plus E3 Instant Foam Hand Sanitizer,58,7,false,Future-proofed zero defect customer loyalty,8282ae4f-0410-4e77-a2f8-735d3ac442db
121ba9b5-a80a-406f-925a-590a5c75ccf9,Fixflex297100371,Simply Firm Eye - Non-Surgical Face Lift,86,8,false,Pre-emptive zero tolerance moderator,d97e2d8d-7d0f-47f7-87d5-28ff55f9364c
02f8cfdf-338a-42c2-a834-5271475edb52,It724365525,Lidocaine Hydrochloride,94,3,false,Assimilated 6th generation contingency,54d6f74f-2d10-4d69-92ff-31da53c16b46
477b6cb6-9a43-48ab-bc45-39edb94cad3c,Cardify44890590,"Acetaminophen, Dextromethorphan Hydrobromide, Phenylephrine Hydrochloride",12,3,false,Operative actuating archive,73d9e5ae-dae2-4578-8952-746cc62067a0
4bd1b2f0-de1d-448d-8298-ee7d863a16ac,Voyatouch146391140,PREPOPIK,57,5,true,Reverse-engineered national initiative,c43b7586-7aa1-4cf7-9318-aacb5a3a4f0e
14cefd43-11c5-455c-98c5-765b6cd10424,Bitchip83818842,Hands First,72,10,true,Customizable interactive database,c19e7465-a528-409d-a6e3-0d2da8ffa43a
f48385b0-c5ed-4de3-8a76-789e9c65064b,Lotlux786390863,Isosorbide Dinitrate,100,8,false,Customizable transitional circuit,843457e4-0de6-46c4-aa8a-5df5d00aaa8f
27380ae7-f222-44b4-bcae-7dbc22790e69,Pannier616935965,Dandruff,42,7,true,Universal scalable complexity,b9c8ba9b-91ec-4908-9c68-ecbd579036eb
d9f6b0f3-f768-41bf-943e-c007ad3bccc0,Latlux173215391,Smart Sense Allergy and Congestion Relief-D,50,10,true,Customizable even-keeled matrices,ab83c808-7c70-463c-9a69-9c875dd2c93e
9a374e8b-784d-4dca-be98-1e8648955e5b,Tres-Zap119397777,RITE AID RENEWAL,89,10,true,Realigned user-facing archive,3722add3-32f4-4b3a-bdd5-ca036ac73624
9efc72ef-7e30-4239-899c-7c23eea3d1c0,Prodder758203713,Dusting Powder,98,9,false,Cross-group well-modulated process improvement,afbd8835-9264-4602-87a4-41f5a752da82
9e1b0dc0-d837-48ae-9ea9-57d3b5deaa06,Sonair218056177,Glipizide,10,7,true,Open-architected composite data-warehouse,62d6457e-02ab-49b0-8952-a1ed5bd8d056
8647fcec-bb80-4c51-acf9-8db1a2ac20c8,Konklab388812528,Acetaminophen Rapid Release,11,10,true,Cross-platform tangible policy,572db554-b816-4bf4-93ed-624bcdda2c39
b091052b-20e2-4d15-ac57-9c08bada2fa3,Mat Lam Tam315468971,PANTOPRAZOLE SODIUM,49,5,true,Programmable 6th generation forecast,c55bcbff-166e-4486-85e8-0f06acf978fe
061c74a7-dbaf-43e5-93f7-d10e385395ca,Toughjoyfax536803357,"Alka-Seltzer Plus Severe Cold, Mucus and Congestion",60,3,false,Customer-focused bifurcated info-mediaries,3a7a8e99-6ce3-4e14-9ad1-3085f22905d9
0fd9563d-7869-4c8e-9ace-8e7175d4a3a2,Holdlamis601265884,Metolazone,34,1,true,Innovative hybrid service-desk,33259963-6feb-48d6-b29d-d313936cdbb3
c8ed09dd-6c05-4403-a924-abd09d3377a7,Lotstring461852160,SHISEIDO UV PROTECTIVE COMPACT (REFILL),86,9,false,Re-engineered clear-thinking parallelism,d97e2d8d-7d0f-47f7-87d5-28ff55f9364c
75550e99-21ac-496c-9426-e7ec104df0e1,Toughjoyfax656540985,Icy Hot Back,13,4,false,Configurable value-added success,bb81110c-7a94-4ac3-9bd5-67184160259d
fd069f53-99dc-4950-9539-d5eeb8ddc016,Lotstring768108095,Monoclate-P,84,6,false,Upgradable contextually-based architecture,b6eb78c8-3c62-427e-87a8-e16615f9683d
811bec66-2df7-4662-91ae-24f88aff1382,Lotstring497642312,Naproxen Sodium,9,5,true,Polarised static help-desk,d7ea198c-bf53-4cad-b068-dc5877c64229
5b2cde24-8c04-4efe-931f-c2cb45638b26,Overhold462903897,Methocarbamol,66,4,false,Reverse-engineered real-time knowledge base,b659c6aa-37ad-4cb9-bf76-7e6669c04fed
2623e4d8-b043-45c3-a927-191eac1706f2,Fintone277791074,Neomycin and Polymyxin B Sulfates and Hydrocortisone,60,8,false,Distributed uniform structure,bb81110c-7a94-4ac3-9bd5-67184160259d
bfd88430-20ad-4aa4-8faf-4eec0c6ed5d3,Trippledex554265884,ADVATE,33,9,false,Down-sized empowering pricing structure,d10f85d2-ae75-483e-9d84-2eeafbc07a88
06f31a7f-eb82-407f-8171-da1cb6bc0d67,Stronghold35356331,up and up acetaminophen,19,2,true,Reverse-engineered empowering local area network,33259963-6feb-48d6-b29d-d313936cdbb3
34f028a8-bf47-49c1-a524-4dc903f88fa3,Domainer796404514,CD DiorSnow White Reveal UV Shield Foundation 030-Medium Beige,26,4,false,Down-sized actuating concept,daf071e6-2394-4ac9-b5a1-97a433d49160
1cd717c6-d0e0-406a-9d12-a194d4afa7f4,Transcof429019946,Losartan Potassium and Hydrochlorothiazide,22,7,false,Digitized coherent matrices,cd312ae9-6fca-4d1f-ac35-695c3c48c3bf
dc934f78-0d19-48fd-980c-079ed18f745d,Andalax536121164,SANCTURA,5,10,false,Robust full-range complexity,b7c4800e-5955-45df-8a4f-4f260f00d493
3ae4b3e8-36f7-46d1-b5c9-5faf44d6fec7,Fix San435823380,Antiseptic,69,9,false,Enterprise-wide interactive hierarchy,0198a03d-d138-489d-a1f4-3c4a1719b987
8b7d3060-22a1-4607-973c-0c1899d6e88d,Temp865706696,good sense ibuprofen,64,4,false,Compatible impactful instruction set,54d6f74f-2d10-4d69-92ff-31da53c16b46
77cf85e9-e619-4267-be39-281bd249e095,Toughjoyfax997335334,MegaFresh,88,6,false,Devolved asynchronous forecast,9f4336d5-e1da-47f6-bdc1-2470672ca1ef
e6039dd2-f343-4308-93e2-0a8dac660b47,Holdlamis153896853,Ropinirole Hydrochloride,70,8,false,Implemented mission-critical emulation,690b6b04-688f-4249-904c-f310f2785217
a39c5359-18a5-4611-a920-025761eda12f,Veribet410745040,Levoxyl,77,8,false,Seamless object-oriented open architecture,b9c8ba9b-91ec-4908-9c68-ecbd579036eb
