dispensableid,key,value
62d6457e-02ab-49b0-8952-a1ed5bd8d056,dispensingUnit,10 tab strip
ffd57abe-a891-4f59-a66b-2ad3de0f809c,dispensingUnit,each
1bfced14-16ad-44df-b73f-5106353972d0,dispensingUnit,10 tab strip
ab83c808-7c70-463c-9a69-9c875dd2c93e,dispensingUnit,each
1a5c9c42-451e-41d4-b04c-5f069955ca71,dispensingUnit,each
b8764f2b-c649-4991-b160-fd9c9b8c258b,dispensingUnit,10 tab strip
8282ae4f-0410-4e77-a2f8-735d3ac442db,dispensingUnit,each
b659c6aa-37ad-4cb9-bf76-7e6669c04fed,dispensingUnit,each
b6eb78c8-3c62-427e-87a8-e16615f9683d,dispensingUnit,each
ddcce957-a360-47e1-af82-f9c3c1525298,dispensingUnit,10 tab strip
daf071e6-2394-4ac9-b5a1-97a433d49160,dispensingUnit,10 tab strip
ac523cc0-cb98-4061-a6b1-508cf636e816,dispensingUnit,10 tab strip
690b6b04-688f-4249-904c-f310f2785217,dispensingUnit,10 tab strip
3a7a8e99-6ce3-4e14-9ad1-3085f22905d9,dispensingUnit,10 tab strip
afa35730-18eb-4cff-9031-bcd88bcf67ac,dispensingUnit,10 tab strip
0c83003d-c6c4-458d-9f29-7afa8eed045a,dispensingUnit,10 tab strip
db10e9b3-6ce6-4fda-b2c3-0b6a8e419b91,dispensingUnit,10 tab strip
94504ff0-d0a0-4b64-9d34-2210dce715db,dispensingUnit,10 tab strip
2a3a4ff5-35ed-438f-87a9-fee1e597fca3,dispensingUnit,10 tab strip
83aea028-dcd5-42da-b17e-677fcc398d71,dispensingUnit,10 tab strip
cd47655d-2330-4910-bf6a-9b3d55d0b2ce,dispensingUnit,10 tab strip
c19e7465-a528-409d-a6e3-0d2da8ffa43a,dispensingUnit,10 tab strip
c43b7586-7aa1-4cf7-9318-aacb5a3a4f0e,dispensingUnit,10 tab strip
12466469-a5c0-4075-8792-1f9ae9784622,dispensingUnit,10 tab strip
b952ad73-dc30-45f5-93a5-3fb752e092ed,dispensingUnit,10 tab strip
9914a1fc-61a3-43eb-89f6-5525e08f88ee,dispensingUnit,10 tab strip
d7ea198c-bf53-4cad-b068-dc5877c64229,dispensingUnit,10 tab strip
cd312ae9-6fca-4d1f-ac35-695c3c48c3bf,dispensingUnit,10 tab strip
572db554-b816-4bf4-93ed-624bcdda2c39,dispensingUnit,10 tab strip
5b71a8ec-9ef2-4f09-a61c-d1f5017ac697,dispensingUnit,10 tab strip
d10f85d2-ae75-483e-9d84-2eeafbc07a88,dispensingUnit,10 tab strip
0251c7ba-da9e-4e7e-981d-d3b57d336981,sizeCode,20 dose
0251c7ba-da9e-4e7e-981d-d3b57d336981,routeOfAdministration,injection
33259963-6feb-48d6-b29d-d313936cdbb3,sizeCode,5 dose
33259963-6feb-48d6-b29d-d313936cdbb3,routeOfAdministration,injection
cb27d04b-b5a3-4b1c-b3f5-e4912f217eba,sizeCode,20 dose
cb27d04b-b5a3-4b1c-b3f5-e4912f217eba,routeOfAdministration,oral drop
30f45eb1-7d68-4962-8927-60f989f78af3,sizeCode,1 dose
30f45eb1-7d68-4962-8927-60f989f78af3,routeOfAdministration,injection
bb81110c-7a94-4ac3-9bd5-67184160259d,sizeCode,10 dose
bb81110c-7a94-4ac3-9bd5-67184160259d,routeOfAdministration,injection
54d6f74f-2d10-4d69-92ff-31da53c16b46,sizeCode,2 dose
54d6f74f-2d10-4d69-92ff-31da53c16b46,routeOfAdministration,injection
b7c4800e-5955-45df-8a4f-4f260f00d493,sizeCode,1 dose
b7c4800e-5955-45df-8a4f-4f260f00d493,routeOfAdministration,injection
0198a03d-d138-489d-a1f4-3c4a1719b987,sizeCode,10 dose
0198a03d-d138-489d-a1f4-3c4a1719b987,routeOfAdministration,injection
afbd8835-9264-4602-87a4-41f5a752da82,sizeCode,10 dose
afbd8835-9264-4602-87a4-41f5a752da82,routeOfAdministration,injection
b9c8ba9b-91ec-4908-9c68-ecbd579036eb,sizeCode,5ml
df396885-aba2-40dc-bfc2-212be35eb9d2,sizeCode,0.5ml
eea1399c-b99d-4e8a-af86-6a8062978bd9,sizeCode,0.05ml
82801936-acf5-47c7-8712-3d518479c941,dispensingUnit,each
375127ec-0ac9-4b91-9111-7f1d2bbbd0ac,dispensingUnit,each
50b7b60f-8ac6-42fe-a74f-bbf8b4e2b570,sizeCode,20 dose
50b7b60f-8ac6-42fe-a74f-bbf8b4e2b570,routeOfAdministration,injection
c55bcbff-166e-4486-85e8-0f06acf978fe,sizeCode,5 dose
c55bcbff-166e-4486-85e8-0f06acf978fe,routeOfAdministration,injection
9f4336d5-e1da-47f6-bdc1-2470672ca1ef,sizeCode,20 dose
9f4336d5-e1da-47f6-bdc1-2470672ca1ef,routeOfAdministration,oral drop
d18c1b6e-9961-4106-801d-28ce4a71bd47,sizeCode,1 dose
d18c1b6e-9961-4106-801d-28ce4a71bd47,routeOfAdministration,injection
915ecc5c-87ff-425e-ac64-45c831b6672b,sizeCode,10 dose
915ecc5c-87ff-425e-ac64-45c831b6672b,routeOfAdministration,injection
843457e4-0de6-46c4-aa8a-5df5d00aaa8f,sizeCode,2 dose
843457e4-0de6-46c4-aa8a-5df5d00aaa8f,routeOfAdministration,injection
22011f6f-1b25-42cd-aedf-e5e92efa186b,sizeCode,1 dose
22011f6f-1b25-42cd-aedf-e5e92efa186b,routeOfAdministration,injection
a3d9fd8a-27a6-4288-93d3-92f941885e5d,sizeCode,10 dose
a3d9fd8a-27a6-4288-93d3-92f941885e5d,routeOfAdministration,injection
c05d4177-8844-48f8-94fb-3ecf6b3fb1cc,sizeCode,10 dose
c05d4177-8844-48f8-94fb-3ecf6b3fb1cc,routeOfAdministration,injection
d4d15162-5718-4f8d-942a-b8b85f3f78e4,sizeCode,5ml
d88a3cd4-271a-49d3-961a-fbef88a74e4c,sizeCode,0.5ml
7dea5bc1-daf4-4c82-a447-d9393822c4fc,sizeCode,0.05ml
b9c10903-dad3-47b6-b6e5-21dd9d232ad8,dispensingUnit,each
d97e2d8d-7d0f-47f7-87d5-28ff55f9364c,dispensingUnit,each
73d9e5ae-dae2-4578-8952-746cc62067a0,sizeCode,20 dose
73d9e5ae-dae2-4578-8952-746cc62067a0,routeOfAdministration,injection
3722add3-32f4-4b3a-bdd5-ca036ac73624,sizeCode,10 dose
3722add3-32f4-4b3a-bdd5-ca036ac73624,routeOfAdministration,injection
