id,supervisorynodeid,programid,supplyingfacilityid,description
54e16aae-35f1-489a-9819-0a677de50d19,fb38bd1c-beeb-4527-8345-900900329c10,dce17f2e-af3e-40ad-8e00-3496adef44c3,19121381-9f3d-4e77-b9e5-d3f59fc1639e,Supply Line for Ntcheu District Warehouse and Family Planning program
dd343fe4-ec0c-4a58-831a-68ccf9f19316,6d5831e7-c336-4129-bd10-0149910a72aa,10845cb9-d365-4aaa-badd-b4fa39c6a26a,9318b2ea-9ae0-42b2-a7e1-353683f54000,Supply Line for Balaka District Warehouse and Essential Meds program
b5e13bf0-21f0-4270-ba2a-41f910858b7f,219cf7dd-b60a-4c25-ae4e-bf035f357bb4,418bdc1d-c303-4bd0-b2d3-d8901150a983,482591f1-33c8-4004-bc24-29931fc0c630,Supply Line for Mozambique Central Warehouse and EPI program
9c3f3d69-0722-4681-a580-6b27ff353afb,6f5eae49-bc62-4664-a679-1ef0bfd5b21d,418bdc1d-c303-4bd0-b2d3-d8901150a983,c62dea9b-6974-4101-ba39-b09914165967,Supply Line for Depósito Distrital Cuamba and EPI program
676a0df9-2981-46bf-a5c4-28dd35f85aa9,bc5e972d-73e9-41c9-9c49-aa260e34a911,ef9a2b39-e7ce-4ebe-930c-f5c6d15b578a,749b9f83-487b-4b83-925a-c43632491782,Supply Line for Lilongwe District Warehouse and ARV program
692e35ce-b8ca-499b-84da-a206b6d6150f,b3606140-be7b-461a-88e7-06aa370a1510,ef9a2b39-e7ce-4ebe-930c-f5c6d15b578a,f085c1e1-b7cb-41f7-9903-581857983c6a,Supply Line for CHAZ Lilongwe District Warehouse and ARV program
95ad5405-4b41-43dd-9cfe-be0a6bed59fb,fb38bd1c-beeb-4527-8345-900900329c10,8a0cf9c6-0591-4ce1-bbbb-ae55553db0dc,19121381-9f3d-4e77-b9e5-d3f59fc1639e,Supply Line for Ntcheu District Warehouse and Lab program
894d1754-5f5b-4bef-8d8d-8b6d8c623e42,75f7510e-4301-46e9-a730-df20b495e523,dce17f2e-af3e-40ad-8e00-3496adef44c3,2937f02b-757e-4abf-a640-60e16e0bac19,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
e31f2b2c-d515-4420-85ff-97c69a578810,75f7510e-4301-46e9-a730-df20b495e523,10845cb9-d365-4aaa-badd-b4fa39c6a26a,20bbffa6-9556-4118-af24-4f9cf1f14778,at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor
afde4433-a461-4a4e-9f03-6e61d303111e,38977d04-5829-4cdb-be4e-fe914ba38be4,dce17f2e-af3e-40ad-8e00-3496adef44c3,482591f1-33c8-4004-bc24-29931fc0c630,hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum
59a9bef6-ecf1-4002-a7f5-e37ba057949a,38977d04-5829-4cdb-be4e-fe914ba38be4,10845cb9-d365-4aaa-badd-b4fa39c6a26a,19a94b68-e613-4996-9bea-94313e9fa34d,ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit
7b0eff2f-a027-40db-adfb-c6fa37cb040e,5f7fb332-7335-46a4-beed-395b59b5f074,dce17f2e-af3e-40ad-8e00-3496adef44c3,20bbffa6-9556-4118-af24-4f9cf1f14778,est phasellus sit amet erat nulla tempus vivamus in felis
a02c12ee-0d93-4650-946f-7bbc072727b8,5f7fb332-7335-46a4-beed-395b59b5f074,10845cb9-d365-4aaa-badd-b4fa39c6a26a,67c8915e-ebbb-412c-b82f-62cf8f72b50f,aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta
a06f825c-abb2-47e2-a2fe-f68fda44f100,39fed9de-00b9-4fe4-815d-606d62e12dae,dce17f2e-af3e-40ad-8e00-3496adef44c3,58d9a145-218a-43bb-b669-bf29589c2512,et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
a48a63bc-8d98-43e5-9d8a-fb965cee1426,39fed9de-00b9-4fe4-815d-606d62e12dae,10845cb9-d365-4aaa-badd-b4fa39c6a26a,0509f332-a77e-4bfc-921b-11c46a6bbfd2,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus
fa9eb421-4f5a-4f02-9694-3b3d03874fd0,38d38078-dbdb-4882-8c2e-e72840d92b9c,dce17f2e-af3e-40ad-8e00-3496adef44c3,58d9a145-218a-43bb-b669-bf29589c2512,venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet
66e4a11b-5a0b-4171-a2be-111abb92fbd3,38d38078-dbdb-4882-8c2e-e72840d92b9c,10845cb9-d365-4aaa-badd-b4fa39c6a26a,4774fc63-a0c8-4a29-a01d-5b6b48632175,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac
3a610dbe-3810-48f7-90b9-452c45b41798,b71ee894-3336-472b-b85d-73e6423be8b4,dce17f2e-af3e-40ad-8e00-3496adef44c3,c62dea9b-6974-4101-ba39-b09914165967,rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet
b8f7f1f5-60ba-433a-a808-735ef9747f5f,b71ee894-3336-472b-b85d-73e6423be8b4,10845cb9-d365-4aaa-badd-b4fa39c6a26a,b49d774b-96c0-46c9-a77a-92b463c85398,turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
7b05475c-6cc5-45ba-9c98-c583087f1556,36ce6ffb-46de-44b8-9add-3208be5cf70a,dce17f2e-af3e-40ad-8e00-3496adef44c3,c62dea9b-6974-4101-ba39-b09914165967,cursus vestibulum proin eu mi nulla ac enim in tempor turpis
7f3fad22-c638-43ee-ae15-c00a04698cea,36ce6ffb-46de-44b8-9add-3208be5cf70a,10845cb9-d365-4aaa-badd-b4fa39c6a26a,e6673cec-c79c-4111-b67c-9b31a1735e27,turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis
42881ab8-7b90-4064-9021-ee97e60a9ee6,01b06099-f1d6-4628-b353-fdc3b616070a,dce17f2e-af3e-40ad-8e00-3496adef44c3,b25bf57d-43ae-41be-8fa9-6335c6fbe161,faucibus orci luctus et ultrices posuere cubilia curae duis faucibus
677b2b33-881c-46e7-8772-30e4ce0e22fe,01b06099-f1d6-4628-b353-fdc3b616070a,10845cb9-d365-4aaa-badd-b4fa39c6a26a,701ee94a-083e-46bb-83b7-d95c3a4c9884,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
90a9241c-34d5-4a0e-9f46-7beb4339caed,c5936ec3-800e-4cfb-afa7-97a35f42cc06,dce17f2e-af3e-40ad-8e00-3496adef44c3,58d9a145-218a-43bb-b669-bf29589c2512,fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio
27ad6f6f-742b-4e37-ab79-26f15dee17dd,c5936ec3-800e-4cfb-afa7-97a35f42cc06,10845cb9-d365-4aaa-badd-b4fa39c6a26a,e21e24ea-2d60-4468-b410-133c51485402,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl
