facilityid,programid,active,startdate,locallyfulfilled
e6799d64-d10d-4011-b8c2-0e4d4a3f65ce,dce17f2e-af3e-40ad-8e00-3496adef44c3,true,,false
e6799d64-d10d-4011-b8c2-0e4d4a3f65ce,10845cb9-d365-4aaa-badd-b4fa39c6a26a,true,,false
13037147-1769-4735-90a7-b9b310d128b8,dce17f2e-af3e-40ad-8e00-3496adef44c3,true,,false
13037147-1769-4735-90a7-b9b310d128b8,10845cb9-d365-4aaa-badd-b4fa39c6a26a,true,,false
7938919f-6f61-4d1a-a4dc-923c31e9cd45,dce17f2e-af3e-40ad-8e00-3496adef44c3,true,,false
7938919f-6f61-4d1a-a4dc-923c31e9cd45,10845cb9-d365-4aaa-badd-b4fa39c6a26a,true,,false
176c4276-1fb1-4507-8ad2-cdfba0f47445,dce17f2e-af3e-40ad-8e00-3496adef44c3,true,,false
5b39f0fb-5c47-4551-b983-1e30ac6df65d,10845cb9-d365-4aaa-badd-b4fa39c6a26a,true,,false
5b39f0fb-5c47-4551-b983-1e30ac6df65d,dce17f2e-af3e-40ad-8e00-3496adef44c3,true,,false
9318b2ea-9ae0-42b2-a7e1-353683f54000,dce17f2e-af3e-40ad-8e00-3496adef44c3,true,,false
9318b2ea-9ae0-42b2-a7e1-353683f54000,10845cb9-d365-4aaa-badd-b4fa39c6a26a,true,,false
7fc9bda8-ad8a-468d-8244-38e1918527d5,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
4774fc63-a0c8-4a29-a01d-5b6b48632175,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
a205764b-3998-4c89-afac-2bc9d737c8d3,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
0509f332-a77e-4bfc-921b-11c46a6bbfd2,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
19a94b68-e613-4996-9bea-94313e9fa34d,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
6115591d-6e74-4b7f-9f80-f19e42494c99,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
e21e24ea-2d60-4468-b410-133c51485402,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
5146de1c-f089-43ff-8016-3c9e8f36e014,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
249fbafc-e934-4068-8452-d92381299c40,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
6c0de27e-2705-4183-96fc-0905caa34dc2,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
97f7c9fb-4d2f-4501-a4bf-f9c365815c20,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
e6673cec-c79c-4111-b67c-9b31a1735e27,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
701ee94a-083e-46bb-83b7-d95c3a4c9884,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
45870b0b-b77e-446b-beb8-a5061145444a,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
0fcab1ac-1ddb-408a-8413-feb5ecfc5dc0,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
b25bf57d-43ae-41be-8fa9-6335c6fbe161,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
97546f93-ac93-435f-a437-cd629deb7d6d,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
d473a46c-24f7-4ed0-84c9-dc8941acbf32,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
65abb2fb-25ca-429b-add7-d092774e51b8,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
5feb3242-10bb-41ea-ab94-4fb6b95185b8,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
f573c829-bf73-49e7-ac7d-c13567dcd6c2,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
88f3adf2-a59a-49f5-9d90-6ee1367262dd,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
a2d3f399-6862-41ec-9a29-dd41ebd50ed9,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
c2051128-f6bf-4d84-a33b-1b360a2d87f9,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
63ab622b-9628-4084-8bc5-ced7cf03a01d,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
f7453d96-601f-4e98-9081-43bd1362a828,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
e9dbb5af-b6a2-45e8-83be-b94117fa0d71,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
a7ddecee-5699-450e-bd79-bd1b2d00bbfd,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
c0d4d66b-d8e9-47e9-92e6-588c88c97c7c,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
0267919e-836e-492f-af36-c8c111baaeab,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
3a41fcaa-4c41-4fa4-8b6b-3b209138ff90,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
2a536413-1a49-4ea6-a904-a7faca769c16,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
5f9c60d8-753a-4d34-9769-d08f6703a8ee,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
c5c3706f-2379-4209-aa3e-efd5bba8fad3,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
796ed125-dc1a-4e40-9b50-ed46843de019,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
52be842d-4d74-434e-b8bb-cb983462a4ee,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
8adb4ef8-b7ef-4583-91cd-f99c1e4214c7,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
7174e805-4fd7-4ffb-a0d3-dc97452dbe89,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
c003b16f-a71c-45e8-84bd-e0bbbebd3aef,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
6c741c92-6020-47e4-bbd2-1a13d0028c6b,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,false
2a12b307-cd31-4088-8b2d-b70640eabc3a,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
c62dea9b-6974-4101-ba39-b09914165967,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
2b6a845a-1bc0-4208-a1a5-c2a09171d707,418bdc1d-c303-4bd0-b2d3-d8901150a983,true,,true
