id,emergencyorderpoint,maxperiodsofstock,minperiodsofstock,facilitytypeid,orderableid,programid
963adf13-af9c-4e26-9158-758df0b6d753,5,73,2,663b1d34-cc17-4d60-9619-e553e45aa441,726d27cb-d3df-4bb8-8835-88c0c26ef392,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ff577e9d-acfd-4bec-8bc7-000488e455aa,4,49,5,663b1d34-cc17-4d60-9619-e553e45aa441,bd616756-681f-41f0-bf2b-1e10834b4919,10845cb9-d365-4aaa-badd-b4fa39c6a26a
63da7b5c-522d-4b41-a781-e6a31c614eb0,1,62,1,663b1d34-cc17-4d60-9619-e553e45aa441,c1f4dac1-e752-4ce0-ab03-751567ac7277,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8e4a8421-2c39-4ca6-934c-a51efdfab4fd,3,79,9,663b1d34-cc17-4d60-9619-e553e45aa441,3f875faf-8036-4867-b144-7e0259e2e7fc,10845cb9-d365-4aaa-badd-b4fa39c6a26a
dbc24b5f-fbef-4158-a090-e701861dab9a,3,34,5,663b1d34-cc17-4d60-9619-e553e45aa441,b232f65d-cab0-45eb-a4d1-a122880608c7,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2928068c-2af1-4f7c-ad57-0b42381a0d68,5,33,1,663b1d34-cc17-4d60-9619-e553e45aa441,93ed1ac5-3640-4f68-a52e-0e5caac3a77f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4020e08f-ba5d-4788-8f6b-98d213f696f5,1,86,8,663b1d34-cc17-4d60-9619-e553e45aa441,096f073c-bbc3-4d6f-a6f4-711c3051ec93,10845cb9-d365-4aaa-badd-b4fa39c6a26a
b4c9fb95-2285-4770-976d-d0ea7f7b5a99,4,80,4,663b1d34-cc17-4d60-9619-e553e45aa441,0ba66bcd-6bdf-410a-9957-f0ea4cf0dbb5,10845cb9-d365-4aaa-badd-b4fa39c6a26a
1c953cc6-8a15-4145-98cc-e57b1dcbc833,4,72,2,663b1d34-cc17-4d60-9619-e553e45aa441,0ce827cc-1281-41a7-95b6-3c71d3d62c98,10845cb9-d365-4aaa-badd-b4fa39c6a26a
30ede88a-ae32-4958-b84f-ea4e7af4f8a7,2,46,5,663b1d34-cc17-4d60-9619-e553e45aa441,09de3fd4-2487-4f43-aa7f-a64e96d620a7,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3674d8c0-e025-4b54-ae69-02a747da21b5,1,96,4,663b1d34-cc17-4d60-9619-e553e45aa441,56186535-d407-4bd6-b306-05fd09dba549,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8e3ee8a7-b118-455b-8529-e6a9b34d73c5,1,62,2,663b1d34-cc17-4d60-9619-e553e45aa441,ac71100e-be90-47e8-ba52-33c2e0632491,10845cb9-d365-4aaa-badd-b4fa39c6a26a
