id,emergencyorderpoint,maxperiodsofstock,minperiodsofstock,facilitytypeid,orderableid,programid
5c3a7c15-9487-4480-a5df-23aea0144394,4,12,4,ac1d268b-ce10-455f-bf87-9c667da8f060,94917694-6eaa-46f7-907c-ebfdff5e0ff6,10845cb9-d365-4aaa-badd-b4fa39c6a26a
eab5c722-cbe0-479d-a904-f7ab7fd59eea,2,58,3,ac1d268b-ce10-455f-bf87-9c667da8f060,7127d853-c2b8-49a7-957e-1b2812e2d19f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
265bafeb-854c-4390-9002-408469704ab1,5,32,9,ac1d268b-ce10-455f-bf87-9c667da8f060,a7d2e607-299b-4ae4-9224-8be224b39020,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2c05f84c-ae98-43b7-9cca-129d192f69f1,3,60,3,ac1d268b-ce10-455f-bf87-9c667da8f060,fd25c05f-5ce3-486a-90f3-ff9f96f4cae8,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2d28fea5-7f31-4c2a-b19c-7d3402698cdc,4,57,2,ac1d268b-ce10-455f-bf87-9c667da8f060,9c63c563-7542-47dd-a453-f2d5466faae5,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a77ab134-46c5-4737-9bc8-1f9294c8baf0,3,57,9,ac1d268b-ce10-455f-bf87-9c667da8f060,46a34621-a368-4a6b-ab68-0667ee4cda3b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d9aeb8d9-8b34-41d3-8037-415e5fed695b,2,26,3,ac1d268b-ce10-455f-bf87-9c667da8f060,5c0fe3c1-e19f-4205-91a0-e7a14498a02d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
31667e12-0803-4523-a1ba-f90f9ab60257,4,44,9,ac1d268b-ce10-455f-bf87-9c667da8f060,9e316b88-b6fc-4d29-8a95-cf9a89a5b93f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
abb2cd3f-2236-4b1c-a48d-f4f225a210aa,5,76,6,ac1d268b-ce10-455f-bf87-9c667da8f060,8d4c4828-7d05-49e4-8e16-400264e9d5a9,10845cb9-d365-4aaa-badd-b4fa39c6a26a
95d669f4-145b-449a-9bda-04dfb5244cba,1,91,3,ac1d268b-ce10-455f-bf87-9c667da8f060,178f25a3-e1f1-411d-98e6-d491dc6748d3,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c287e619-c510-4075-b2fe-db78cb0a2850,1,25,9,ac1d268b-ce10-455f-bf87-9c667da8f060,296ccc73-7b85-4d8c-ac9f-d4f2e54fd3f1,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d67aea53-c89a-433b-94a3-ac8b79bdb998,3,58,1,ac1d268b-ce10-455f-bf87-9c667da8f060,06844462-07e9-4291-a2c6-bc5f7956f98f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7d9533e5-2576-4714-b395-85ccea4d80b9,2,19,9,ac1d268b-ce10-455f-bf87-9c667da8f060,c13a7566-a6e8-4521-9091-ebcfc4f81649,10845cb9-d365-4aaa-badd-b4fa39c6a26a
b95ec8c6-ecbe-4272-8a7c-453d5d1fd9b4,5,21,1,ac1d268b-ce10-455f-bf87-9c667da8f060,59557175-6381-4b78-afdf-f9f0e31a1992,10845cb9-d365-4aaa-badd-b4fa39c6a26a
fd963d42-b4f9-4b6d-9ab3-af924fb0247e,3,16,7,ac1d268b-ce10-455f-bf87-9c667da8f060,f158b1e3-578d-4598-9b3c-6acfdcabd304,10845cb9-d365-4aaa-badd-b4fa39c6a26a
36f93def-e98b-403d-9a49-405da060da44,1,21,9,ac1d268b-ce10-455f-bf87-9c667da8f060,0e4408f8-9c9b-496a-8c67-9b4716c76c8e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
190ddcfb-8cff-4ad9-b272-eb18878bd1aa,4,14,6,ac1d268b-ce10-455f-bf87-9c667da8f060,cdac6a5c-89d8-4e63-b66c-773e87e7f79f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2223c63f-e28f-4e63-9c24-651a394f97e8,1,95,7,ac1d268b-ce10-455f-bf87-9c667da8f060,c61b83a0-7eb2-4fad-a489-c31c520d3c5f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
dee4d267-934e-483d-8841-483cd5c540fd,5,48,9,ac1d268b-ce10-455f-bf87-9c667da8f060,2c9fc902-b414-4806-8444-b73dfae89336,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a0d7a4b9-fd1c-4116-90b1-6b2f3756e7f2,4,58,4,ac1d268b-ce10-455f-bf87-9c667da8f060,dac4bafa-f252-41ee-ade0-e99c1a6f7958,10845cb9-d365-4aaa-badd-b4fa39c6a26a
492771c5-df78-40b9-8a9f-291ed483d3ca,2,31,1,ac1d268b-ce10-455f-bf87-9c667da8f060,80d3f0f4-4ccb-4adb-8d08-e108d195003f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4bb71294-12d8-4e1e-a16c-d69718057736,5,43,2,ac1d268b-ce10-455f-bf87-9c667da8f060,211f491c-2381-42fd-8463-9c9b3f5b604e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
168070f9-5c89-421e-ad84-91c1af745408,5,32,4,ac1d268b-ce10-455f-bf87-9c667da8f060,d6034b3b-4b2e-4bd7-a204-ccb234e35dba,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f5865e04-c86d-4499-9bf1-6bcc1daf117d,4,71,9,ac1d268b-ce10-455f-bf87-9c667da8f060,3eeb4d41-3e50-4934-bf67-4babe4eb8ea4,10845cb9-d365-4aaa-badd-b4fa39c6a26a
e08bf424-402d-4266-b061-3eeddf75fea9,1,53,1,ac1d268b-ce10-455f-bf87-9c667da8f060,0bf7b0cc-034e-48dc-a5c7-fd77a4ac3314,10845cb9-d365-4aaa-badd-b4fa39c6a26a
b4598882-ef2b-40ac-a6ef-22a80e52fdcb,3,61,7,ac1d268b-ce10-455f-bf87-9c667da8f060,8189a8a2-a281-47eb-908f-ce1e73f3d10b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c7913671-c8ad-4b0b-a135-06910d9c5638,1,54,9,ac1d268b-ce10-455f-bf87-9c667da8f060,19829cde-5293-4f73-9ff5-cc954f9521e7,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ca303267-ee62-4e6a-a681-9592b59bb607,5,58,7,ac1d268b-ce10-455f-bf87-9c667da8f060,690afac9-9a18-43f4-aaec-a05459d79ed4,10845cb9-d365-4aaa-badd-b4fa39c6a26a
e4993a4d-fc42-4508-8423-bb6013eda903,5,29,7,ac1d268b-ce10-455f-bf87-9c667da8f060,66a46ca7-391c-4b17-895d-69d5e43381a1,10845cb9-d365-4aaa-badd-b4fa39c6a26a
1650d6b7-0d4b-4824-aeff-9717983f5e7b,3,42,1,ac1d268b-ce10-455f-bf87-9c667da8f060,2e092b4f-8d0c-4660-bafb-cf08aefbd0c0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
135808db-8d97-48ac-b480-be4e2757d77c,1,49,8,ac1d268b-ce10-455f-bf87-9c667da8f060,d86c8ce6-6748-4772-a078-52f1f0eec22f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ffb28c3c-ae7f-4163-8352-1442b8c657e9,1,44,3,ac1d268b-ce10-455f-bf87-9c667da8f060,0d308b01-506b-4acb-a75a-387a6c40f1f1,10845cb9-d365-4aaa-badd-b4fa39c6a26a
58219d7f-b778-47bc-8624-1c40260d2cc2,2,71,4,ac1d268b-ce10-455f-bf87-9c667da8f060,db89b313-f2ed-4bf5-bacf-c94412127d2e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
1ef5b054-964c-4c43-b971-7e46dbb68c5f,5,64,4,ac1d268b-ce10-455f-bf87-9c667da8f060,94cd98cd-7d5f-4c20-81fb-3864bdb5682b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0ca4d4a0-4558-445e-8511-823ff8e78869,4,54,5,ac1d268b-ce10-455f-bf87-9c667da8f060,8d003f95-c587-4615-9fb9-74e9241f1a1e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8b22dd29-4574-4c6b-a4fe-bfc8a540d784,4,29,9,ac1d268b-ce10-455f-bf87-9c667da8f060,b39d498f-0117-4bca-8a2f-ea2ddb71a9a0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7c9bde91-feff-4662-936a-d03706b45c96,3,56,3,ac1d268b-ce10-455f-bf87-9c667da8f060,666ddbe1-cf7a-498b-a19f-87991282989e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ab3ca74b-fecf-45e0-813b-e38a35d91ac0,1,55,6,ac1d268b-ce10-455f-bf87-9c667da8f060,746e79ef-6e40-450d-a341-5462accfdb6e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
75f3c46a-750a-47ea-9b01-f19aae100130,1,80,5,ac1d268b-ce10-455f-bf87-9c667da8f060,69d8612b-72a9-423a-863a-3d9d4cdc346d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
1fd389ce-8663-4229-a5cb-1b15024c9859,1,55,5,ac1d268b-ce10-455f-bf87-9c667da8f060,6636a89d-bef3-4177-a0e1-51ee73012649,10845cb9-d365-4aaa-badd-b4fa39c6a26a
674d9c86-fef2-42fe-aa8a-65bd4187236d,4,28,8,ac1d268b-ce10-455f-bf87-9c667da8f060,e75d11a1-8ccc-4cfb-b7d7-f469b6e37952,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6c29ae31-ea29-4955-86f0-9ddd6f95cb76,2,28,3,ac1d268b-ce10-455f-bf87-9c667da8f060,34e3c46a-d812-4b99-a68c-d74dd5f4691b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3eb13284-9421-42fe-ab1d-56797f166c34,3,70,6,ac1d268b-ce10-455f-bf87-9c667da8f060,684363dc-2860-45b3-8022-857d609c5512,10845cb9-d365-4aaa-badd-b4fa39c6a26a
5ab3813d-7d01-4bbb-925d-20e3853093d3,1,31,6,ac1d268b-ce10-455f-bf87-9c667da8f060,2c8bc71e-f657-4e27-a383-d7c1b64dec02,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f5ce899d-9820-4f12-885a-9d72bee3938f,2,44,6,ac1d268b-ce10-455f-bf87-9c667da8f060,4f742378-5b5e-46e8-a843-1b19682e0202,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ed5d41ca-8fc3-4cbc-af39-fd10270d739b,5,82,5,ac1d268b-ce10-455f-bf87-9c667da8f060,63f91347-26b3-4df6-bb0a-bf6882f40d20,10845cb9-d365-4aaa-badd-b4fa39c6a26a
78c6de69-d86d-49c0-ab31-ff4e1296ec03,3,96,5,ac1d268b-ce10-455f-bf87-9c667da8f060,ae0fe25e-1b0f-44c4-95e4-a211fb910052,10845cb9-d365-4aaa-badd-b4fa39c6a26a
5e3900fd-73a5-4bda-95b0-229a210d6471,1,55,8,ac1d268b-ce10-455f-bf87-9c667da8f060,dc8827a1-278e-4977-bdb4-b619f156e490,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7cbf6411-b953-4d4a-a78b-41d357c3a164,3,18,1,ac1d268b-ce10-455f-bf87-9c667da8f060,aa1cc853-e792-4127-9474-23e9f351da66,10845cb9-d365-4aaa-badd-b4fa39c6a26a
804d9836-1108-4aa1-87b7-49278c0ffde8,2,49,2,ac1d268b-ce10-455f-bf87-9c667da8f060,1f59d800-e5b9-4264-8316-aba412995c22,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f01df33a-3d93-4c3b-b24e-bee815ef488d,2,71,3,ac1d268b-ce10-455f-bf87-9c667da8f060,97b6d363-556b-40b0-8fc7-6a1d9ec6fff9,10845cb9-d365-4aaa-badd-b4fa39c6a26a
64eb5191-549e-492c-8ce3-f468c2330796,2,20,5,ac1d268b-ce10-455f-bf87-9c667da8f060,71ac0225-ee8f-45bf-a43c-d282005d5025,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9b0b52f2-8587-446a-af4b-8a4a9e6f37df,3,76,8,ac1d268b-ce10-455f-bf87-9c667da8f060,c5b17dac-2155-46ce-9e10-621f6383bebc,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4ff9a603-8006-436c-bc19-f12dcdf44730,1,68,6,ac1d268b-ce10-455f-bf87-9c667da8f060,cd188c39-87bb-4a75-9f51-0b52511d3717,10845cb9-d365-4aaa-badd-b4fa39c6a26a
045f437f-4bbe-4f34-a1c7-524c2bf0c86b,4,71,1,ac1d268b-ce10-455f-bf87-9c667da8f060,5ea35275-cafd-4b5b-83de-36639198cbba,10845cb9-d365-4aaa-badd-b4fa39c6a26a
52582c24-322c-4931-b0d4-e242e9307102,3,35,5,ac1d268b-ce10-455f-bf87-9c667da8f060,1f1df54d-ee77-49ba-9a2a-81a723a60be1,10845cb9-d365-4aaa-badd-b4fa39c6a26a
56b71875-8f2a-4ae6-b8e1-41913bd8f0fb,2,44,1,ac1d268b-ce10-455f-bf87-9c667da8f060,f7227143-aca4-4837-8f39-2335f5e4ec5d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4b238b1d-2141-4af6-a8a4-b7be3fa7ce97,4,37,2,ac1d268b-ce10-455f-bf87-9c667da8f060,1b37c5b8-49a2-44e5-9801-b951e44234da,10845cb9-d365-4aaa-badd-b4fa39c6a26a
629596cf-7e32-47f6-b05d-b59da767a232,2,30,3,ac1d268b-ce10-455f-bf87-9c667da8f060,0b5d5294-9dda-4ff0-90e3-e19f211ea687,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ad6de0b5-077d-4c4b-aa3c-01162ead3fc2,2,59,2,ac1d268b-ce10-455f-bf87-9c667da8f060,de7c08e6-aa6e-4f25-b693-b5de1a5f7c5d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7241e616-e114-4c1d-a0e7-113d8b4ba618,3,15,8,ac1d268b-ce10-455f-bf87-9c667da8f060,83da47d2-68a6-4ac5-b202-abaabbdd4804,10845cb9-d365-4aaa-badd-b4fa39c6a26a
316b2a73-6348-4644-a1a9-8631de223b15,4,74,9,ac1d268b-ce10-455f-bf87-9c667da8f060,93e75e7d-5c29-4f7f-bbeb-bdbdb6471f46,10845cb9-d365-4aaa-badd-b4fa39c6a26a
cd754ecd-4015-4f01-9cdd-6ff46fd75ce6,1,26,3,ac1d268b-ce10-455f-bf87-9c667da8f060,3b6c806f-5675-4cff-818d-763ff0f1c6ce,10845cb9-d365-4aaa-badd-b4fa39c6a26a
899e80f1-a688-4705-a61e-0a419b8f55a8,1,49,5,ac1d268b-ce10-455f-bf87-9c667da8f060,6a2f1da7-18f3-4efd-b770-77d2a878e383,10845cb9-d365-4aaa-badd-b4fa39c6a26a
08f7957a-7c9b-4120-aca7-25d5b74a3ac2,2,15,3,ac1d268b-ce10-455f-bf87-9c667da8f060,78f37cf3-c0f8-44ab-97ce-23d4776fd234,10845cb9-d365-4aaa-badd-b4fa39c6a26a
295bef0c-bd8f-4180-9524-5d67539d458c,4,48,2,ac1d268b-ce10-455f-bf87-9c667da8f060,1174f57a-ef34-4518-a3eb-b27b134d871f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
69661d01-401d-4ebc-a5cd-1035cea027aa,4,60,9,ac1d268b-ce10-455f-bf87-9c667da8f060,83fe9208-7780-4163-a363-51ed6143b3f0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
30708497-f145-4baf-82d2-969ce5806aef,5,15,3,ac1d268b-ce10-455f-bf87-9c667da8f060,b85eebbf-efff-4dfc-9359-7670f8f5c600,10845cb9-d365-4aaa-badd-b4fa39c6a26a
fd4cc711-6570-4d53-bf01-aad323417ad3,5,13,4,ac1d268b-ce10-455f-bf87-9c667da8f060,ae87e76b-f934-462f-9b9e-04e3f0c86ad7,10845cb9-d365-4aaa-badd-b4fa39c6a26a
07e9adde-5ba1-4275-bd98-8e94cc3c93f6,3,89,4,ac1d268b-ce10-455f-bf87-9c667da8f060,85ea0d4d-cc15-448b-84cd-c0aaea03a92c,10845cb9-d365-4aaa-badd-b4fa39c6a26a
425d9a02-c6ef-44dd-a1d9-6ffee00641f5,2,75,3,ac1d268b-ce10-455f-bf87-9c667da8f060,64373303-76a1-4d16-9541-cc2091ffb20e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
b3736316-d163-471e-b6c9-75959b786975,1,13,4,ac1d268b-ce10-455f-bf87-9c667da8f060,ac28ed8f-9dea-409a-889b-4030f81af25d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c2846b8d-64e2-486b-89e4-6d77d8045206,4,36,1,ac1d268b-ce10-455f-bf87-9c667da8f060,9ffa5f9e-c10b-4122-b549-be3ed34d4724,10845cb9-d365-4aaa-badd-b4fa39c6a26a
b7a300b1-ad0b-4696-872a-bc5ca07b2ba4,5,74,2,ac1d268b-ce10-455f-bf87-9c667da8f060,40511648-d59c-41a3-bd5e-345f068ddbb5,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3a65b6bd-7784-4c7d-b19c-895d87c37b70,4,54,1,ac1d268b-ce10-455f-bf87-9c667da8f060,3a680b5e-266a-4907-ade6-6ae1a8ace281,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f4a65f07-9705-438c-94d7-b398e8d1e339,2,98,9,ac1d268b-ce10-455f-bf87-9c667da8f060,65c8b931-d3f0-4d7e-bd1d-baa1eec9b7bd,10845cb9-d365-4aaa-badd-b4fa39c6a26a
