id,active,displayorder,dosesperpatient,fullsupply,priceperpack,orderabledisplaycategoryid,orderableid,programid
5f32166a-ad52-46f1-88c3-7533894e39f1,true,35,42,true,92.02,a38b4aac-a993-4d2b-ba9b-88f51ad84745,c14bb449-bcb1-4334-983b-b7469b6dcf19,10845cb9-d365-4aaa-badd-b4fa39c6a26a
5f621c0e-fc7a-4c82-b800-7aaee318739f,true,42,79,true,3.11,f25bd7c2-274c-42fa-a952-92940d0d94d8,495086c0-b716-46b6-be52-97b90d340748,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4cc2eddb-fd58-4630-81e8-2d946e1f97e2,false,92,69,true,94.34,ad22548b-b50a-40e9-8525-ce0f5f2d021c,f910f6cf-6598-4d94-8ce8-15891bbd0503,10845cb9-d365-4aaa-badd-b4fa39c6a26a
80629193-49b6-4ccb-b3a4-a0b8e1e4e3f2,true,15,67,true,39.92,df7d87d1-5a23-4eaa-8558-971dec184cfd,b6c8d188-b9ad-4540-b646-c2e4b128398f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
808d8091-5e53-4b10-8354-0a9fc877f15d,true,41,57,true,33.26,14124d76-299f-48d7-aa88-c8d3b710ce05,c67fe273-7e69-4a0b-955f-6fa9db2ff10a,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3246eec2-c38f-438d-89a3-98d1e9ee59f9,true,50,75,true,47.81,9cdafc74-1965-4b38-b826-580edfee2337,eea8be3f-eaba-4880-b743-96fb325c8576,10845cb9-d365-4aaa-badd-b4fa39c6a26a
41f81495-62e3-490b-a3c2-ef0e36b903f7,false,28,13,true,64.59,639248f3-f0ff-4ba4-b542-c3e090fed731,5cef00b1-351a-4fa2-a7d6-5f86a65533c8,10845cb9-d365-4aaa-badd-b4fa39c6a26a
13ff4fce-e3e9-4129-87a2-6a0d868962c2,false,58,71,true,5.88,e74af5bd-f41e-4784-a79d-9c87977b4ee6,e6f9d779-a4c3-4049-b71e-960acd6e72b0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7e05f905-c54d-441c-8126-a9d852c617c0,false,39,16,true,84.93,56311427-7899-4823-9fb4-9f3d4d8a33e6,e5b1d121-fd4a-4564-b022-f7a3483ac199,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c9456608-abb3-4400-b644-2c49e91b3d71,false,37,51,true,98.75,900489c4-7c57-45c7-92ae-8aa7ad9751e3,ac71100e-be90-47e8-ba52-33c2e0632491,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0288db62-d15e-4b96-b61f-3802a5c50af3,true,12,13,true,98.86,be856393-9ffc-4750-b274-5aaebfdfd082,3613efbb-a508-4a9c-a2fc-6292269c748f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9c87f9ab-b2b8-49fd-ac1b-787dd0400d4e,true,82,62,true,93.81,2dcec0f4-0117-46c6-b9c4-504eb19d8d0f,51d9cb65-84f8-4f7a-92c3-5153c5129b6e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
16994832-82e2-44ed-a12e-37b648528579,true,87,69,true,20.71,08a150c4-e2c7-45b4-9edb-569ddd8e94bf,5e7752d8-e6fd-4bbc-b4f2-b164707ce37e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ff8c0acb-7083-4599-960a-8adf65cf9945,true,22,47,true,61.96,978920ff-f5a6-42fb-a318-8fec43ac6694,2f444fdb-f526-47cb-89e8-2bec6244c9c7,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f2fca773-3d1d-47d8-9708-01701b9d4e44,false,96,83,true,25.89,f1f7c552-b956-4b32-b652-65a490bf4c6f,2be687f0-1184-400a-aae8-daa4fa229c4f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
32be3105-cd73-4e02-84df-95f74c2d85b0,false,29,61,true,28.67,0abb6107-239a-469d-9131-84fa0451fd51,a53e16d4-0b93-4b3a-ba7e-e1b2a556c5da,10845cb9-d365-4aaa-badd-b4fa39c6a26a
37327424-d1f0-4283-89f1-10756d1e4c8e,false,38,82,true,75.85,e8926a94-8ca9-43ce-8381-20d7e76557ba,718a594c-299d-434c-b3b6-b8ac54f1bf0b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
1d51b958-9a8d-4750-b437-722e90866284,true,95,30,true,84.13,cf853759-db36-4c7e-ada0-af034dab2255,d3f47a0c-b407-490c-a2ed-4cf02d17cef6,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c4e22f15-4ed5-46e2-9a69-b2d119088086,false,18,94,true,86.94,2d0ebfa0-9e7a-47ca-bfab-5b4011bcc182,ea5f0325-d521-42ee-b09c-270f5e86b9b0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ff8bce10-98d8-4f41-b4ad-a639aeac50e5,true,73,40,true,13.92,88764eb5-85e3-4599-9f0b-b144709d76f7,63682e26-756d-4dbe-9368-5cf227b5fc0b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
05db3cd6-b8c3-4910-91f1-5000f741ced2,false,72,83,true,76.32,443dfce9-399e-4ce1-b3c4-8049d912c914,5188ef7a-4112-43b2-8ee3-7433291f143e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
fa17f6aa-3b36-4cdb-a81e-fb37e6d2d047,true,28,98,true,92.39,a10a80f6-d551-4c57-b95b-e95f12358301,e8be2f28-9194-4672-a107-4f8c2aacb40e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7eb6d641-a491-4674-a60b-7050e67f818d,false,37,51,true,21.92,c2071be6-f8e0-4aa0-af54-659ec9a482b1,4ebaf298-ad37-42e1-8cdd-52b190bedd8b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
670a2471-3bc3-4eb7-8c7e-91e3f861d09e,true,77,61,true,50.4,e754532c-d2b5-4a60-a804-2f7cae36d523,599c5559-cbe7-4fc2-9990-4993b2b8cc80,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2a9d49dc-7fee-413f-8977-4285518226e0,true,55,6,true,36.39,c351871c-711c-4659-9de4-8d739884a143,83876ccd-7f30-46ff-a9c9-322a6a0e1c51,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7d0f99a3-a3ad-4d34-ba80-95aedcfb7bd7,true,26,43,true,19.86,95ed89b7-b67d-4742-99ec-c39b919a939c,bb257551-1543-470a-85de-7918fdea2e2d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c899fcdb-5f2c-46d8-a23a-8dd2c0e11a61,false,81,54,true,46.28,4bf0d378-574d-4274-8655-f68b3a854037,e2b28211-4e56-4bb0-a289-516af2459cfe,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4446c625-779a-4d2a-8e9d-69990c75e4c7,false,96,44,true,43.39,61e2ab8f-6d2f-48f8-80cd-1698a712ab0f,274704b4-9b07-4d83-8af2-e9ef4e02db28,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d2c8802c-34fd-49ee-aecd-9c3607f7002f,false,46,12,true,81.94,7c3243c9-35a7-49a0-89aa-b87f47d6e5f1,4ab4f8b7-7bbe-498c-b86d-a4de1c5cf8d0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
