id,active,displayorder,dosesperpatient,fullsupply,priceperpack,orderabledisplaycategoryid,orderableid,programid
c5d2df5a-0053-4a51-8c49-d152f18c4b29,false,46,43,false,86.41,16173fd0-f439-4222-931e-91c413a495c3,94917694-6eaa-46f7-907c-ebfdff5e0ff6,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6d3106df-4761-4e29-8b05-6ab8a118e378,true,38,50,false,86.37,16173fd0-f439-4222-931e-91c413a495c3,7127d853-c2b8-49a7-957e-1b2812e2d19f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
70692f52-581b-4f9d-aaaa-f38698736023,false,16,40,false,40.57,15b8ef1f-a5d6-42dd-95bf-bb68a4504e82,a7d2e607-299b-4ae4-9224-8be224b39020,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d5d5ecb5-1244-4f7d-80cf-d97cdc29421b,false,92,66,false,36.65,16173fd0-f439-4222-931e-91c413a495c3,fd25c05f-5ce3-486a-90f3-ff9f96f4cae8,10845cb9-d365-4aaa-badd-b4fa39c6a26a
99c35bfa-7ee0-40cf-99f3-4323c2c365db,false,51,42,false,54.38,74f39ab7-b5ce-4087-a6ea-65799a35e79b,9c63c563-7542-47dd-a453-f2d5466faae5,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f3b40b27-28a9-49f0-8e8c-95d702cb826c,true,63,46,false,21.81,6805dd74-ec00-4697-9a5d-5b78414fcaf6,46a34621-a368-4a6b-ab68-0667ee4cda3b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
29475491-017c-4890-9df8-5933339aa286,true,66,9,false,10.14,3bfe0282-732b-4ce8-b4f9-aa7ffb297758,5c0fe3c1-e19f-4205-91a0-e7a14498a02d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
22798617-c1b7-4591-8bc4-7d07805b036f,false,33,57,false,32.83,06606981-67cc-42d1-87ed-21f22fb0ea58,9e316b88-b6fc-4d29-8a95-cf9a89a5b93f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a000d587-89ce-4e44-aec9-e2b5ebe8dd47,true,23,79,false,38.21,74f39ab7-b5ce-4087-a6ea-65799a35e79b,8d4c4828-7d05-49e4-8e16-400264e9d5a9,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d7f3f0d1-341b-4b8b-ba75-df9f984ad8f6,false,16,89,false,45.54,06606981-67cc-42d1-87ed-21f22fb0ea58,178f25a3-e1f1-411d-98e6-d491dc6748d3,10845cb9-d365-4aaa-badd-b4fa39c6a26a
