id,active,displayorder,dosesperpatient,fullsupply,priceperpack,orderabledisplaycategoryid,orderableid,programid
dab47582-c1ce-4461-b716-48e6d4b19509,true,40,17,false,52.32,993ff98b-d9ba-4918-a14f-db1d6f57da1d,aaa2ea49-b743-4e63-b613-716b11cf7f49,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d5b4bd72-d224-4fd1-b897-e648fde61d68,true,68,96,false,13.41,1ef5deee-47df-4eb9-90a6-48504839b6c3,1737015a-4ca0-4edc-bc87-1ce9cd5681fe,10845cb9-d365-4aaa-badd-b4fa39c6a26a
25e028b2-d980-4e4d-ade5-f20d88216388,false,98,11,false,48.4,8e2c6e45-f9ef-4cc6-98b6-e964ba1eb78b,4de93439-3d63-4de8-8684-0b38c656bbb5,10845cb9-d365-4aaa-badd-b4fa39c6a26a
bad47876-faca-45c4-9a01-baeeddc09783,false,49,47,false,58.94,bff58fd7-6932-4179-8b30-c62e9250ba2c,083a0169-6224-47d2-8590-64f3a7d96494,10845cb9-d365-4aaa-badd-b4fa39c6a26a
5107c55b-85da-4e0f-9967-08657d309edd,false,38,47,false,87.11,cf3aeef6-2e35-4952-b2e5-132174fe48e3,7bb72be9-91cc-4278-b5c3-ed39529f7b97,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0db95bde-9710-40e3-87b6-8c3d348defa8,true,85,93,false,42.58,26af8f5d-552a-4d46-8182-ce8ff13bf03b,b0fd7017-291e-49d3-a93d-b09509b4d5e1,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6ecd0cf9-466e-4af8-9e53-ea40d0dfa943,false,43,35,false,19.33,2cd68772-7224-4884-a091-b871424ef2b6,9689bb98-3560-420f-afcf-06491e673fa8,10845cb9-d365-4aaa-badd-b4fa39c6a26a
72fe9fea-25bc-49d9-a4f2-7a3a2208ed65,true,13,62,false,88.83,fa1fc550-d178-4c58-bc58-735d0be74156,1ac56de6-20de-406e-a732-5dbe2dede7ea,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9c51ea15-a9e2-4548-acb5-2037e4282638,true,62,60,false,69.59,8a3f890b-f186-4a49-b363-fd678eae2817,3d8edaaf-626f-4fa5-9b12-1477da0d9ced,10845cb9-d365-4aaa-badd-b4fa39c6a26a
db1ed8f7-2ab9-49df-830c-ee7dcc28d080,true,6,92,false,73.56,fd56932b-c650-41df-a05b-bb22a27f5606,c2d925e9-464b-449a-9fa4-4c3f09099d4d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
4e2a105d-c863-4f1b-9fbf-4afc4bcd4fb6,false,61,16,false,11.35,aeab944a-b3fb-46f1-a8af-93d08cf9893e,97697f1b-48ee-4e9a-963b-c6c642a98020,10845cb9-d365-4aaa-badd-b4fa39c6a26a
5d3b48d9-a7be-4f03-997b-b6d4127907ff,false,67,48,false,18.94,16899dfb-f37a-4bab-a1d5-665ecd6f13c6,c4ff5f10-fc92-460e-9f4e-1f93c0766aae,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d27f2495-585e-47b9-a69e-d8d38df3dc5d,false,57,91,false,42.89,5c7ef87e-a3c2-42a8-b4f6-e1bfa5312c8f,7f737a8b-42f7-46b2-bb02-be515c8be7be,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6f06db40-3440-4d9a-9f06-92b26d22cd85,true,35,47,false,43.68,00f2a94e-3d8a-4013-b9e6-9203ec71aebe,a2338adf-5713-4223-bb14-73cfbf4bd776,10845cb9-d365-4aaa-badd-b4fa39c6a26a
67939d2c-0280-43b2-bd6b-c1d14b632224,false,48,52,false,57.73,52c2adad-2b18-4ddb-9d29-77df8fda990a,6212db64-10dd-4250-a6dc-a2805ef56d26,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2cc5dd4a-9cda-43ea-af6b-366449b6e69d,false,52,88,false,16.52,311664f5-d01c-469f-90c7-d5ec9c2be673,b2799b6b-66d5-41ae-9cb0-063b8c6ef7f6,10845cb9-d365-4aaa-badd-b4fa39c6a26a
87e1211e-26b3-4673-ac57-7bdff1af9e7d,false,100,56,false,97.82,0e5aa4db-aa20-4b3f-97f4-14f28b6087bf,4436a50c-183a-41b2-8189-d8285d63c1e6,10845cb9-d365-4aaa-badd-b4fa39c6a26a
cfbdb25e-75cf-4eff-a4f5-ac6ad85e7fd4,true,13,69,false,96.85,c3ce346f-4fb2-4ee3-9192-e1b12c6967d6,cce32632-a492-41f9-9623-a06ef72d5b23,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3a8b74a1-f6c2-4b43-b91f-ea491e84e54f,true,35,40,false,88.61,5de8411c-f6e5-419f-bb98-266924e17ac9,bc1fc4a1-a938-4490-9931-73db25aeb469,10845cb9-d365-4aaa-badd-b4fa39c6a26a
fc0bb954-4e95-4c1f-bb86-72f8a1537324,false,76,41,false,42.54,460a9e99-e47a-4ca9-a8fd-419154d656a8,011bc1df-b71f-457c-bd63-84b7c4e07418,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9e749949-67ab-48cd-a3b5-ecaed823fd85,true,4,78,false,83.85,5152d63a-f3cd-44da-b65a-2cdc68c97f87,6c7e8d9b-3e28-4fb2-98bd-e949493916f0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0593a8d9-c97b-415d-946d-a05e1c5c45ed,false,17,62,false,49.61,c0b4fe13-7e47-43a7-8005-663873c9dea6,fa19de5b-2f97-47c5-92f9-e5cd06dff20e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7b8be0a2-6679-41e8-9965-55bb499e94cc,true,61,26,false,59.81,2cfa8380-96c5-480a-803b-bb5f0da37794,43fe7e55-5c6c-4ddb-ab05-8f16003d44df,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9f40c6d7-728b-4065-bd50-881ddb7db290,true,58,14,false,24.47,6ea49e35-2286-4421-8cb3-dbc6080e0e10,6c96363a-8985-4894-8d48-1fdbca3ba522,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d9f23893-e426-4d81-a0ee-91b03f8948e0,false,63,57,false,1.75,3af4417a-8a49-49b2-ad42-f8ad3a1f579a,84c53c03-8577-4aef-9a91-a030e6dd3a2e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
089ad42f-7617-429c-94dd-03428427b0de,true,1,51,false,2.49,757078fb-a917-4ab0-946d-f2b51d00b1cc,65ca28f1-c7b0-411c-8bbc-34e6a6e1649f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
f0d37d99-ec1b-49ae-9e85-1edb071dcc6e,false,53,70,false,32.97,aa0a7de5-79ee-4b92-b85e-716d5d4d7b2f,096f073c-bbc3-4d6f-a6f4-711c3051ec93,10845cb9-d365-4aaa-badd-b4fa39c6a26a
15266570-0c93-4f4e-974a-917a8fe0adbb,true,44,94,false,73.39,0d9c794a-34e0-47c8-82d5-32687ccc7bae,a91cf8ca-1539-46cf-a003-a14f01c06ff9,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a8d6601e-e431-488b-b50c-ebca56f91a0d,true,76,4,false,16.41,033c700c-73d2-4cdb-ab48-3387816557c1,d74e6493-e4a1-41f1-bac7-1185c38f3059,10845cb9-d365-4aaa-badd-b4fa39c6a26a
e90da795-143b-4b57-8bc2-33df0ee815bf,false,3,61,false,99.2,2f84b8d1-ec24-4d41-a552-a75dbc7d71f7,32249d88-3cb5-4d0f-a829-8afcb499d81a,10845cb9-d365-4aaa-badd-b4fa39c6a26a
27483883-a7b6-4281-bd57-7343c1364408,true,8,55,false,24.4,d5f2f082-1ad3-44dd-b797-abfcc080eeb2,9ebebd54-0caa-49c6-ab3e-343c1d8b9c6a,10845cb9-d365-4aaa-badd-b4fa39c6a26a
83587051-e096-4f53-88bc-cbab2cef7723,true,45,63,false,29.45,96b1c391-5ddb-459b-a556-555643bbbf23,a8f4ec37-e7d6-40f8-b709-ae9c463a2cea,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0bff81bb-ac3a-41f3-b266-92d1600b3c48,true,4,11,false,80.83,8611a635-da06-4841-a217-b9de35900097,97c3c1ae-7838-4f87-beac-8bfb57f18757,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a5b540e9-6885-4890-962b-a8dd660dc5a0,true,75,17,false,63.39,5821f702-f54b-4b42-b2c3-35c6c1224b5a,94743b40-c4e1-4517-90f1-4cc6d819790c,10845cb9-d365-4aaa-badd-b4fa39c6a26a
e0e38cb4-9d62-4423-9357-88f06f26fc28,true,43,11,false,10.37,73551ef5-32c3-4351-bfec-07eff852fb5e,ab1b8d75-8556-47d8-848c-304bd74d814e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
b409a0d8-1a4d-4318-9af9-b9bd3bcdc3fd,false,39,87,false,90.18,62298f4f-65cf-469b-8770-9a0eb6938ebe,4635f83c-c8e2-4276-8187-e88ee228907b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6e1018ee-1405-4fc3-ac87-9860a124a1ec,false,3,23,false,17.09,d38a3217-07e8-4b04-be1f-77168aa6d984,5d8a8882-83d9-4f93-808f-c80cc9e6faad,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8228b60a-021f-464f-a62e-b38348550c3d,true,93,83,false,97.42,3eb063e6-b542-47a8-85ad-8a8f78cc7862,e3f580a0-0bd6-4a73-93c7-808f9b673a84,10845cb9-d365-4aaa-badd-b4fa39c6a26a
6508bbd9-e581-49d0-9cb4-cd3746daeb2f,false,54,30,false,71.96,9c5fbcad-ccee-46c3-be3d-4298a3999ecd,3d8edaaf-626f-4fa5-9b12-1477da0d9ced,10845cb9-d365-4aaa-badd-b4fa39c6a26a
13c1593a-506b-4d06-87aa-29cec649520d,false,65,15,false,43.7,8bf94931-d330-4a78-86ac-3f89eebbc63c,3842cc26-1766-40c8-b54a-3f39fe0611c4,10845cb9-d365-4aaa-badd-b4fa39c6a26a
1f807bbf-c63c-4a39-a6e6-5a23725620f5,true,18,56,false,75.02,80fe0fad-975f-4405-ad1b-002aa19bb3d1,bc1fc4a1-a938-4490-9931-73db25aeb469,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a12f5435-85e7-45bd-9777-5e2eb787c132,false,5,41,false,96.64,d3ffcf14-9337-42f2-ab1e-944e2ae94a24,953aac59-90ab-49a9-80f7-7cca89a91cfa,10845cb9-d365-4aaa-badd-b4fa39c6a26a
7a8cc1f9-f860-4651-8c49-608a670bc132,false,61,99,false,59.49,daa48862-394c-41cf-8512-1759c2991744,6335b8c4-58c9-4862-b830-eee56f89d735,10845cb9-d365-4aaa-badd-b4fa39c6a26a
dbdae41d-4cfe-408f-bc50-96247bed1f5d,false,31,22,false,32.07,97b70a47-03b6-46e2-8208-11000064228e,0444b604-67f6-419a-a870-f4aa6417e140,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9d857e19-54f4-4270-8cf7-e0342d115400,true,29,63,false,32.58,12c07a59-f695-4e08-baac-4a6e0637138e,ad552c6d-9b9a-43fb-9b2c-a3c8e7def2bb,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c5de1d5d-7732-4d92-b25c-d78172fdaec4,false,36,91,false,59.21,0f84c543-f735-462f-b8b1-34278feab9b1,881e2207-be49-4b4d-ba80-2befb92aaff9,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ea0c523c-01f7-4072-a31e-3cbdb469af1c,true,1,95,false,97.71,a7fa6d62-9633-4d26-b93b-466d06f98958,7e5dae0f-e0eb-4b41-b797-10fdf6da0f06,10845cb9-d365-4aaa-badd-b4fa39c6a26a
cc484d3d-1d7b-4e55-91d1-f80d319798e4,true,78,75,false,1.11,5c41bcb4-5a66-46d8-b123-639a2fb0b55e,3055593c-ae28-44af-aef5-13a0b6adb6fb,10845cb9-d365-4aaa-badd-b4fa39c6a26a
72daa151-dbab-4bad-b085-349d961b9139,true,70,81,false,89.21,87caf0af-d914-4db7-ad50-5c235372fb71,4d5da376-435a-4e4d-9766-fcd3c1905e90,10845cb9-d365-4aaa-badd-b4fa39c6a26a
848789d5-3d7c-4aa7-a175-319c2ff5a566,true,13,9,false,28.43,2108073c-3744-413d-afe2-854114f51c61,3fc75183-f8d7-47b1-a07a-f133365342ea,10845cb9-d365-4aaa-badd-b4fa39c6a26a
71bd2f8d-eacc-465a-80ed-44ac3466a7c1,true,38,92,false,14.72,c28d77b7-11b4-4fef-83fa-62371a4db916,b90fd5fe-f8f2-443b-be62-76dacffa2aeb,10845cb9-d365-4aaa-badd-b4fa39c6a26a
c9dbaa62-7ecc-4cf5-8dfc-fcfaa7242789,false,1,81,false,29.21,91f833cf-8650-433a-b772-34850428bfd5,3de4ed21-14d0-47b2-a843-ba628ab53075,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0b6274af-972d-4b04-9db8-8352bc656a66,false,61,44,false,70.19,b64fbaca-aa50-4c99-ae2e-5bfcefa77350,2621b662-3fb9-479f-b3ce-10f8ad31f81d,10845cb9-d365-4aaa-badd-b4fa39c6a26a
caf9783d-2498-4a25-b3a6-2ca8dbb80e6d,true,4,41,false,80.7,a9fb8c07-baf0-487f-a071-3b88ee2a423a,d3647038-6f2f-400f-9cb3-5e61638f2cdd,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3341b8a6-c339-4ad1-bb47-e948a9ed9c7a,false,49,59,false,63.39,0b4e7d61-c84a-4316-8c9b-f8bb8bf8622c,3a125d68-8c37-4b99-b4ee-fb0cfb507880,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2259e014-ffc2-4f9a-9ac6-c9d149ad2918,true,85,72,false,22.54,2b7fab7e-58ce-4a2a-b74f-259e5309143c,2dc5636b-b5e6-4a01-b44a-553b660f91c9,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a3c2f87c-f53e-4ba6-be0b-080f449af6d1,false,73,62,false,74.59,dbddf9fa-aeb2-4643-b1fe-bea1d34135c2,d3175190-bfab-473e-9dd2-a44200ec678f,10845cb9-d365-4aaa-badd-b4fa39c6a26a
3255b2d2-fc93-485f-b643-821974d19ec2,false,4,89,false,56.69,b16baf69-e7e3-4c8d-bdc0-00343bf9c7e3,24fd31c1-2daa-4669-b84b-ed80f3b6a25e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
0cafea91-70f4-4cd8-9da1-10739eb544a1,false,81,92,false,52.89,a297fe54-30c1-4ee2-8d22-ed2277a9746f,454a8cf1-c3d2-4999-9f05-0fc50e4b9561,10845cb9-d365-4aaa-badd-b4fa39c6a26a
d6c6cd55-da86-478d-9c82-068e7d3a0155,false,97,24,false,84.14,d575265c-2b08-4a4f-82b1-1040fda47040,8a3f36fa-8453-4f14-871d-c3cdd6c0ae4e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
86afcd4b-1e61-49fd-a910-8ab65ff2c484,false,8,71,false,27.1,55ba2cb4-6efb-42fd-a836-c493a186e190,8666800d-cd84-4094-8d89-523ffe7ba977,10845cb9-d365-4aaa-badd-b4fa39c6a26a
9c536c94-5d37-4a6b-a59d-eb9226974941,true,96,61,false,73.61,d905cbf5-b9dd-42f5-bf8f-2a35e4dc6d96,d2bb7331-c596-474a-b37a-22f79d21064b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8a8247b4-918c-45ab-95fa-b2b200df66fd,true,67,55,false,99.62,380bf2f0-598f-43c0-884b-dd76f42656a5,a473cf1a-ae45-4529-a743-2154262f071b,10845cb9-d365-4aaa-badd-b4fa39c6a26a
639b4030-deaa-49e4-a9c4-ce8a4e6e6af7,false,60,27,false,82.73,84618954-e1c7-4255-ba04-cf7940ccfb88,d34bc87d-83d6-4293-8c79-d18029f40d23,10845cb9-d365-4aaa-badd-b4fa39c6a26a
a7e85e4e-f42f-4915-b98a-a2a9528c4da1,true,64,65,false,56.33,3e064d10-95a1-465c-a486-0e9fee5382d6,dd01ab07-f078-425c-a667-1a116f656ae2,10845cb9-d365-4aaa-badd-b4fa39c6a26a
eef092d7-7380-42e2-ac96-ad200fbde8eb,false,76,44,false,23.18,fd8742a9-81fb-4ec9-a8b2-9122506df1c8,1abbee2e-7507-4666-927f-79d4ce18eaa2,10845cb9-d365-4aaa-badd-b4fa39c6a26a
391d5c7f-0d7c-4db8-b0e2-470d9a42f24e,true,87,31,false,17.12,4047f8df-f31d-4e71-8c4d-4b5672f6e38c,869a99cd-0301-488d-acf6-f13218ef56e4,10845cb9-d365-4aaa-badd-b4fa39c6a26a
40e208e9-2119-4a8f-a21b-a10fb80d0a4a,true,85,82,false,65.18,9ca7972e-af33-4b6e-80aa-310dcfe3a811,e502a7c4-d8e2-4051-8cbe-36d1c48b4765,10845cb9-d365-4aaa-badd-b4fa39c6a26a
95992200-e35c-4feb-af9c-d8e07f31e97d,false,94,11,false,19.54,847ea5a5-0bd7-416b-857f-c2d25969b7ee,c08bfca5-16e1-4a62-9d08-876afcd47bbd,10845cb9-d365-4aaa-badd-b4fa39c6a26a
2e0ea452-df39-4812-94ef-5be47536d76b,false,76,49,false,89.13,d0eeadd2-39bf-4c57-afcc-6014934374af,fa19de5b-2f97-47c5-92f9-e5cd06dff20e,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ce34a188-926e-4438-aa35-b825e2c55cf3,true,83,83,false,21.04,311033e8-e223-498d-81bd-f859122918d5,3b7e8079-3c9d-4d32-a690-bfa7243fd4ef,10845cb9-d365-4aaa-badd-b4fa39c6a26a
8f4a0111-7fde-408f-9e45-6740f623d10f,false,14,78,false,30.48,9ff06d40-33b7-44e7-a2a4-92213b498f1b,dac9ecc3-1b49-468f-9f3b-810a255774b0,10845cb9-d365-4aaa-badd-b4fa39c6a26a
95825def-f2c9-486a-8aa3-aba66a9ca4d2,true,18,31,false,34.1,ff29f24e-004c-45ca-98cb-78b3d8add57e,98985b01-334c-4daa-91ca-f3a9bd5fb7ae,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ef011da8-406b-4e78-8fe3-43895ec5a999,true,32,44,false,23.15,911e1c1d-40c0-4d60-a217-61d929005137,4d5da376-435a-4e4d-9766-fcd3c1905e90,10845cb9-d365-4aaa-badd-b4fa39c6a26a
ad4c1445-7440-4de1-9da4-fd2f5012e223,true,15,61,false,2.29,ce133f25-c98f-4b16-bfcc-46bf82ec0ae9,42b5f201-4749-41c3-9edd-0d81051b1344,10845cb9-d365-4aaa-badd-b4fa39c6a26a
40473228-59c5-4c8b-b6a8-0e09580c022e,false,56,37,false,57.31,94050acd-d0d8-4d40-9726-2ea66e65f515,6bc385cb-f2ac-481b-a525-b9cdc71d2acd,10845cb9-d365-4aaa-badd-b4fa39c6a26a
