id,code,dispensingUnit,fullProductName,netContent,packRoundingThreshold,roundToZero,description
94917694-6eaa-46f7-907c-ebfdff5e0ff6,YiSy3HQUxb8,strip,Mupirocin,4,9,true,Cross-group disintermediate support
7127d853-c2b8-49a7-957e-1b2812e2d19f,fqdvRX3,pill,"DermaQuest TM Skin Therapy, Breathable Coverage TM Mineral Foundation SPF-30, DermaMinerals TM",17,7,false,Multi-channelled exuding parallelism
a7d2e607-299b-4ae4-9224-8be224b39020,fSWPhNJl4cD,strip,Childrens Ibuprofen,42,9,false,Organized radical policy
fd25c05f-5ce3-486a-90f3-ff9f96f4cae8,pH3wWfgu0,pill,Zyprexa,46,10,true,Stand-alone context-sensitive portal
9c63c563-7542-47dd-a453-f2d5466faae5,yriwDcIgunwJ,each,Tylenol,73,5,true,Enhanced systemic methodology
46a34621-a368-4a6b-ab68-0667ee4cda3b,aajXQfsgLtM,pill,Burkhart,67,1,true,Automated homogeneous emulation
5c0fe3c1-e19f-4205-91a0-e7a14498a02d,G3BVQE,pill,Lamotrigine,61,9,true,Automated systematic hub
9e316b88-b6fc-4d29-8a95-cf9a89a5b93f,VFFn7kxoCdm,each,Midodrine HCl,33,1,false,Re-engineered secondary alliance
8d4c4828-7d05-49e4-8e16-400264e9d5a9,1pIMrm44Uo,strip,OXYMORPHONE HYDROCHLORIDE,7,3,true,Open-source neutral alliance
178f25a3-e1f1-411d-98e6-d491dc6748d3,RIEGZFmXBpc,pill,J-TAN,35,1,true,Horizontal analyzing hub
296ccc73-7b85-4d8c-ac9f-d4f2e54fd3f1,KSIJSsbk,injection,Pleo Poly Om,90,3,true,Phased demand-driven superstructure
06844462-07e9-4291-a2c6-bc5f7956f98f,iGcFvH,strip,equate night time cold and cough,94,8,true,Polarised bottom-line attitude
c13a7566-a6e8-4521-9091-ebcfc4f81649,Hl4e3e,each,DELFLEX,89,4,false,Balanced heuristic definition
59557175-6381-4b78-afdf-f9f0e31a1992,jKUKhF,pill,Rx Act Heartburn Prevention,59,8,false,Function-based executive success
f158b1e3-578d-4598-9b3c-6acfdcabd304,71456J,each,Tendon Rescue,24,6,false,Up-sized leading edge standardization
0e4408f8-9c9b-496a-8c67-9b4716c76c8e,sL2K0Q880,each,Lite nFoamy E2 Sanitizing Handwash,3,4,true,Profound bandwidth-monitored frame
cdac6a5c-89d8-4e63-b66c-773e87e7f79f,cpQPvSX8,each,BICILLIN CR,20,1,false,User-centric zero administration interface
c61b83a0-7eb2-4fad-a489-c31c520d3c5f,e1wZG3O,each,Wrinkles and Radiance Dazzling -Day- SPF 20,41,6,true,Business-focused 5th generation monitoring
2c9fc902-b414-4806-8444-b73dfae89336,Gg4MaPmFdDc,injection,Smelt,72,8,true,Future-proofed background parallelism
dac4bafa-f252-41ee-ade0-e99c1a6f7958,zbTt0tYJPXr,pill,Diltiazem Hydrochloride,54,5,true,Phased even-keeled alliance
80d3f0f4-4ccb-4adb-8d08-e108d195003f,beXHQH5Q4FP,injection,Oxygen,95,4,true,User-centric coherent parallelism
211f491c-2381-42fd-8463-9c9b3f5b604e,mJjSlrFso9,each,Red Oak,72,3,true,User-friendly 24 hour monitoring
d6034b3b-4b2e-4bd7-a204-ccb234e35dba,nB8IcGVRy,pill,smart sense ibuprofen pm,23,7,true,Multi-channelled logistical knowledge base
3eeb4d41-3e50-4934-bf67-4babe4eb8ea4,G99fuqD,injection,EPICOCCUM NIGRUM,88,10,false,Future-proofed grid-enabled methodology
0bf7b0cc-034e-48dc-a5c7-fd77a4ac3314,pL0j7qK1pE9,injection,severe sinus congestion,50,9,false,Pre-emptive uniform functionalities
8189a8a2-a281-47eb-908f-ce1e73f3d10b,tPDuTRqiRb2,injection,Therafeldamine,90,10,true,Focused optimizing contingency
19829cde-5293-4f73-9ff5-cc954f9521e7,9gKPo3,pill,Sports Injury,36,9,true,Operative explicit secured line
690afac9-9a18-43f4-aaec-a05459d79ed4,QjtrSxwKuWM,pill,Salex,29,1,true,Front-line responsive artificial intelligence
66a46ca7-391c-4b17-895d-69d5e43381a1,SaQfBh,each,Kimvent Oral Care Toothbrush pack,19,4,true,Open-source multi-tasking pricing structure
2e092b4f-8d0c-4660-bafb-cf08aefbd0c0,qt9nFa,each,Enalapril Maleate and Hydrochlorothiazide,52,2,false,Robust 24 hour concept
d86c8ce6-6748-4772-a078-52f1f0eec22f,iATkfdj,each,Doxycycline,57,10,false,Implemented multi-state architecture
0d308b01-506b-4acb-a75a-387a6c40f1f1,NKKhujXasQ,injection,Intervene Makeup SPF 15 Soft Beige,20,1,false,Centralized modular software
db89b313-f2ed-4bf5-bacf-c94412127d2e,U5AXv9Si5tr,strip,Lyrica,83,5,false,Multi-lateral grid-enabled definition
94cd98cd-7d5f-4c20-81fb-3864bdb5682b,YGHuXD1,injection,Venlafaxine Hydrochloride,86,6,true,Expanded multi-state array
8d003f95-c587-4615-9fb9-74e9241f1a1e,H6hZGzdxY,each,Mesquite,21,10,false,Implemented well-modulated software
b39d498f-0117-4bca-8a2f-ea2ddb71a9a0,Z7reco4Ha,strip,CELEBREX,27,10,false,Stand-alone eco-centric Graphic Interface
666ddbe1-cf7a-498b-a19f-87991282989e,cVdilnL3lJNj,pill,Lithium Carbonate,84,2,true,Cloned tertiary groupware
746e79ef-6e40-450d-a341-5462accfdb6e,ZBFMHTHof,strip,Donepezil Hydrochloride,37,5,false,Open-architected user-facing middleware
69d8612b-72a9-423a-863a-3d9d4cdc346d,imGZPp,strip,Magnesium sulf. Bryonia,91,5,false,Streamlined global collaboration
6636a89d-bef3-4177-a0e1-51ee73012649,ss9FUF,each,Monistat 1 Combination Pack,38,3,true,Business-focused asymmetric knowledge user
e75d11a1-8ccc-4cfb-b7d7-f469b6e37952,Rac6lAVwL,injection,Cyclophosphamide,55,4,true,Versatile 24 hour encryption
34e3c46a-d812-4b99-a68c-d74dd5f4691b,RifUjbJpcMIC,strip,Miconazole 3 Combination Pack,53,5,true,Streamlined mobile artificial intelligence
684363dc-2860-45b3-8022-857d609c5512,VzORx74p,pill,Hemorrhoidal,18,5,true,Organic next generation paradigm
2c8bc71e-f657-4e27-a383-d7c1b64dec02,nE50T1,pill,Molluscum Control,43,7,true,Managed 4th generation hub
4f742378-5b5e-46e8-a843-1b19682e0202,XofTDj,each,"Butalbital, Acetaminophen and Caffeine with Codeine Phosphate",89,5,false,Expanded value-added moderator
63f91347-26b3-4df6-bb0a-bf6882f40d20,Hx1PfzAC1lU,each,Prednisone,90,10,false,Streamlined global projection
ae0fe25e-1b0f-44c4-95e4-a211fb910052,1IyYBagkrU1r,pill,MANDARIN ORANGE AND LEMON ANTIBACTERIAL SANITIZER,66,1,false,Reverse-engineered hybrid success
dc8827a1-278e-4977-bdb4-b619f156e490,4CfohT1gX,each,Hayfever,32,4,true,Stand-alone foreground migration
aa1cc853-e792-4127-9474-23e9f351da66,xXNmHk6k4q,injection,Diovan HCT,23,5,false,Expanded asymmetric installation
1f59d800-e5b9-4264-8316-aba412995c22,CxNcNyVWb,each,Buxom Show Some Skin Weightless Foundation Broad Spectrum SPF 30,28,6,true,Upgradable bottom-line instruction set
97b6d363-556b-40b0-8fc7-6a1d9ec6fff9,WSInUBjVj2,strip,Cold and Cough,58,10,true,Proactive fresh-thinking customer loyalty
71ac0225-ee8f-45bf-a43c-d282005d5025,CzbyXC,pill,Clopidogrel,97,4,true,Pre-emptive incremental policy
c5b17dac-2155-46ce-9e10-621f6383bebc,J2xLKo,strip,Lescol,55,7,false,Synchronised 24 hour capacity
cd188c39-87bb-4a75-9f51-0b52511d3717,Wl9RgveuAAJ,pill,Citalopram,83,1,true,Seamless tertiary knowledge base
5ea35275-cafd-4b5b-83de-36639198cbba,TLTjvx,strip,Aurum Equisetum A,77,7,true,Expanded incremental leverage
1f1df54d-ee77-49ba-9a2a-81a723a60be1,oF41b9jWreF0,pill,Heparin Sodium,50,7,false,Seamless clear-thinking hub
f7227143-aca4-4837-8f39-2335f5e4ec5d,3MmOOu,injection,Zenzedi,75,3,true,Object-based even-keeled time-frame
1b37c5b8-49a2-44e5-9801-b951e44234da,O0UG3EH35,each,Sepia Kit Refill,61,5,false,Business-focused disintermediate methodology
0b5d5294-9dda-4ff0-90e3-e19f211ea687,va9s2XO5,each,Almond,95,10,false,Organic 4th generation throughput
de7c08e6-aa6e-4f25-b693-b5de1a5f7c5d,xIngHk,pill,Dandruff,70,2,true,Profound zero defect neural-net
83da47d2-68a6-4ac5-b202-abaabbdd4804,SI7BaU,pill,PREDNISOLONE ACETATE,10,1,false,Focused demand-driven focus group
93e75e7d-5c29-4f7f-bbeb-bdbdb6471f46,DTw7VQt,pill,SUPER BB All-in-1 Beauty Balm Powder,45,4,true,Focused context-sensitive contingency
3b6c806f-5675-4cff-818d-763ff0f1c6ce,74ycl71t,pill,Mint,23,2,false,Ergonomic 5th generation knowledge user
6a2f1da7-18f3-4efd-b770-77d2a878e383,Cd9nGRl,strip,Plexion,56,8,false,Right-sized empowering infrastructure
78f37cf3-c0f8-44ab-97ce-23d4776fd234,IqAZGsoYP,strip,Heparin Sodium,15,10,false,De-engineered homogeneous function
1174f57a-ef34-4518-a3eb-b27b134d871f,VyM07h,injection,Citalopram,52,5,true,Cross-platform full-range firmware
83fe9208-7780-4163-a363-51ed6143b3f0,AONhJ3OnvN,injection,Neomycin and Polymyxin B Sulfates and Hydrocortisone,42,3,false,Versatile encompassing knowledge user
b85eebbf-efff-4dfc-9359-7670f8f5c600,XzvKhh6vIZG,each,Sumatriptan Succinate,90,4,true,Grass-roots logistical throughput
ae87e76b-f934-462f-9b9e-04e3f0c86ad7,h98cRpm,each,HEMORRHOIDS PROCTALGIA,53,9,true,Future-proofed coherent capacity
85ea0d4d-cc15-448b-84cd-c0aaea03a92c,nl74Q7NJH1d,each,XtraCare Dry Fresh Invisible Solid,87,1,false,Fully-configurable transitional firmware
64373303-76a1-4d16-9541-cc2091ffb20e,631CEJCW,strip,House Fly,30,10,true,Enhanced clear-thinking focus group
ac28ed8f-9dea-409a-889b-4030f81af25d,oDijNVFDGr,injection,Cough Control,58,7,false,Business-focused non-volatile neural-net
9ffa5f9e-c10b-4122-b549-be3ed34d4724,FAhRYl7,strip,Fluconazole,33,7,true,Automated 6th generation matrix
40511648-d59c-41a3-bd5e-345f068ddbb5,RqKLzMT1mXK,each,Fire Ant,98,1,true,Open-source fresh-thinking archive
3a680b5e-266a-4907-ade6-6ae1a8ace281,04CefResA89,pill,Losartan Potassium,53,3,false,Compatible local success
65c8b931-d3f0-4d7e-bd1d-baa1eec9b7bd,oYhE9ftY1OJ,strip,DOVE,44,8,true,Decentralized clear-thinking data-warehouse
812890d1-cb3d-4bac-8973-e3b185c733df,gCn6Ef6RcZf,each,Secret Paris Clear,62,1,false,Diverse discrete attitude
953a9759-8577-4f38-b650-17372113ea10,PXxYZxuAABtR,pill,Metolazone,71,1,false,Multi-layered non-volatile groupware
fc4eff82-5835-457c-a2a3-4bb3435f8bfd,EChA0Lrx,strip,Sertraline Hydrochloride,19,6,false,Reverse-engineered homogeneous archive
373bcd41-e01e-4b3b-853a-f7b9920b1bb0,OT2v6yezBtIg,each,Hydrocodone Bitartrate and Acetaminophen,99,1,true,Public-key intangible architecture
6a49d9af-2d6a-48fe-a7d2-d5fcf3bc36d8,VPafCEjLskg,strip,Baclofen,76,1,false,Expanded static capacity
c192f43b-a8ab-432b-b9a5-b46718c953b1,N6o8PfoUuBqS,each,INTRON A,57,6,false,Persevering transitional alliance
b5286fa3-1d63-47f1-a349-2b54f4ac9886,oBVzLm0JO,each,Ibuprofen,71,1,false,Intuitive interactive structure
d611c8ce-a756-46f3-b5ab-d98cc9cbe258,DUpVepgFVFGV,strip,Junior Strength Acetaminophen,41,4,false,Reverse-engineered uniform service-desk
597ddf42-dce5-402f-bdec-24ef8bbc68b9,CcVrqhMA,injection,Super Restorative Foundation True Lift SPF 15 Tint 7.5,49,7,false,Re-contextualized next generation hierarchy
bd0968f2-2a34-450f-bf89-1d00ff060146,m7tg5U,each,Potassium Chloride,80,5,true,Adaptive incremental instruction set
44edc9e8-ca04-4be0-bd55-81ffebadb71c,19MmhPT7,injection,Professional-C Suncare Broad Spectrum SPF 30,74,6,true,Grass-roots zero tolerance protocol
aeebeb7c-0193-4c0e-a292-d332c7668f5d,2pX21Frs0Y2,strip,STOOL SOFTENER,35,2,true,Devolved grid-enabled secured line
9b8b8609-79d4-4e16-82a0-04d2cca44d09,VVu6Btc,pill,ARTHRITIS-EASE,91,1,true,Optimized asymmetric local area network
9c6b461e-2cb2-49b4-a506-e00e9c5f9aea,m4Q1pdH31HGE,each,SODIUM SULFACETAMIDE AND SULFUR,33,6,true,Fundamental even-keeled policy
808b43a0-a590-4a76-9ade-0afc09aa0596,XRZNkgHH6Vp,strip,VICHY LABORATOIRES DERMAFINISH CORRECTIVE FOUNDATION,52,2,false,Integrated homogeneous infrastructure
5c874536-f901-4671-ad0e-3d4b76019a80,RYnN1JHGB,strip,4 in 1 Pressed Mineral SPF 15 Blush Medium,2,4,false,Ergonomic explicit matrices
53665a53-2a24-4145-88a1-5616b542de75,mpI2a6O,injection,Toms Whole Care Spearmint,92,3,true,Automated bifurcated access
dcb679d5-2688-48ef-8276-ad9340b30ae9,aMLKgNg,each,Dicyclomine Hydrochloride,67,6,true,Mandatory full-range framework
054abd96-35ad-499e-925f-3faeb73f0185,1HxPG0P,each,STEMPHYLIUM SOLANI,16,6,true,Enterprise-wide asymmetric time-frame
1ec0fcb8-2428-4d07-9def-c2c82b7727a0,Tnkn61yk2,injection,Trazodone Hydrochloride,84,8,false,Public-key 4th generation infrastructure
9ca39aad-c4fb-47f8-94ab-66a34e31f9ae,AKXmIdMQ,each,Cardizem CD,25,2,false,Grass-roots asynchronous collaboration
89a9106b-34bb-4c92-a303-f32587d91fa3,ozOfCZEkX3Jd,injection,Acetaminophen And Codeine,46,5,false,Ergonomic didactic hardware
